nch,count
0,866
1,8129
2,10115
3,11630
4,11839
5,11073
6,9798
7,8682
8,7592
9,6574
10,6014
11,5480
12,5042
13,4645
14,4294
15,3955
16,3681
17,3466
18,3271
19,2969
20,2825
21,2658
22,2297
23,2361
24,2165
25,1983
26,1909
27,1795
28,1717
29,1627
30,1566
31,1439
32,1328
33,1292
34,1104
35,1085
36,1025
37,920
38,889
39,803
40,775
41,741
42,622
43,615
44,546
45,506
46,477
47,449
48,394
49,360
50,296
51,288
52,265
53,253
54,220
55,189
56,185
57,143
58,123
59,146
60,99
61,89
62,96
63,66
64,73
65,52
66,55
67,43
68,40
69,33
70,39
71,25
72,26
73,27
74,19
75,10
76,15
77,10
78,10
79,17
80,7
81,8
82,3
83,7
84,6
85,4
86,4
87,2
88,2
90,1
92,2
101,1
108,1
175,1
