observable,total,share_pct
D0 (104),59678352.0,45.947479041350206
D+ (101),13331304.0,10.26402021178246
D- (100),13310136.0,10.24772257279358
Dbar0 (97),13298376.0,10.238668328910869
D_s+ (107),8041584.0,6.191365879192796
B0 (110),5042102.0,3.8820086045497697
B+ (113),5027152.0,3.8704983200220036
D_s- (94),2934768.0,2.2595327560524003
Lambda_c+ (124),2877072.0,2.215111526880895
Lambda_cbar- (77),1298424.0,0.9996809148950042
B_s0 (116),1153336.0,0.8879749509107537
Bbar0 (91),936156.0,0.7207640081856524
B- (88),935766.0,0.7204637398936237
Lambda_b0 (147),373776.0,0.28777713108029046
Xi_c+ (131),327552.0,0.2521884092066139
Xi_c0 (126),323448.0,0.2490286628720351
Xi_cbar- (70),237240.0,0.18265551179714085
Xi_cbar0 (75),234480.0,0.18053053619201476
B_sbar0 (85),209300.0,0.16114398338872693
Lambda_bbar0 (54),157092.0,0.1209480680291538
Xi_b- (148),42406.0,0.032649172286585544
Xi_b0 (154),42250.0,0.03252906496977407
Xi_bbar0 (47),28210.0,0.021719406456741457
Xi_bbar+ (53),27378.0,0.0210788341004136
Omega_c0 (136),11712.0,0.009017287785230624
Omega_cbar0 (65),2136.0,0.0016445463378801754
Omega_b- (160),2054.0,0.001581413004684401
Omega_bbar+ (41),208.0,0.00016014308908196464
UNMAPPED/kMultiplyHeavy,48.0,3.695609748045338e-05
UNMAPPED/kExcludedExcited,26.0,2.001788613524558e-05
