observable,total,share_pct
D0 (104),1185729.0,25.39094068596905
Dbar0 (97),1184954.0,25.374345005985152
D+ (101),439244.0,9.405874656576493
D- (100),438733.0,9.394932214677434
Lambda_c+ (124),239157.0,5.121255532785569
Lambda_cbar- (77),238457.0,5.106265886348501
D_s+ (107),190613.0,4.08174496615552
D_s- (94),188703.0,4.040844645162948
Bbar0 (91),65534.0,1.4033306994383166
B+ (113),65421.0,1.4009109422277612
B- (88),65090.0,1.3938229808410905
B0 (110),65011.0,1.3921312921717641
Lambda_b0 (147),50741.0,1.0865566426618185
Lambda_bbar0 (54),50349.0,1.0781624406570605
Xi_c+ (131),32298.0,0.6916222866063226
Xi_c0 (126),31881.0,0.6826927400859549
Xi_cbar0 (75),31689.0,0.6785812942060734
Xi_cbar- (70),31574.0,0.6761187094342693
B_s0 (116),15477.0,0.33142108272357595
B_sbar0 (85),15171.0,0.3248684658525147
Xi_b0 (154),6644.0,0.14227315846840075
Xi_b- (148),6540.0,0.1400461252834649
Xi_bbar0 (47),6491.0,0.13899685003287016
Xi_bbar+ (53),6289.0,0.13467126634674478
Omega_c0 (136),6280.0,0.13447854232112533
Omega_cbar0 (65),5805.0,0.1243069965245434
UNMAPPED/kMultiplyHeavy,2859.0,0.06122199880511104
Omega_b- (160),1227.0,0.02627470882611796
Omega_bbar+ (41),1147.0,0.02456160637616732
UNMAPPED/kExcludedExcited,782.0,0.01674557644826752
