ordinal,category,category_name,total
25,2,kMultiplyHeavy,2.0
27,2,kMultiplyHeavy,4.0
28,2,kMultiplyHeavy,12.0
29,2,kMultiplyHeavy,4.0
30,2,kMultiplyHeavy,12.0
33,5,kExcludedExcited,18.0
34,5,kExcludedExcited,14.0
35,5,kExcludedExcited,57.0
36,5,kExcludedExcited,67.0
37,5,kExcludedExcited,83.0
38,5,kExcludedExcited,56.0
39,5,kExcludedExcited,6.0
40,5,kExcludedExcited,559.0
41,0,kCentralGround,573.0
42,5,kExcludedExcited,2203.0
43,0,kCentralGround,2214.0
44,5,kExcludedExcited,2275.0
45,0,kCentralGround,2054.0
46,5,kExcludedExcited,36.0
47,0,kCentralGround,2106.0
48,5,kExcludedExcited,6578.0
49,0,kCentralGround,6745.0
50,5,kExcludedExcited,7729.0
51,0,kCentralGround,8098.0
52,5,kExcludedExcited,71.0
53,0,kCentralGround,2104.0
54,0,kCentralGround,8505.0
55,5,kExcludedExcited,6538.0
56,0,kCentralGround,6671.0
58,2,kMultiplyHeavy,88.0
59,2,kMultiplyHeavy,74.0
60,2,kMultiplyHeavy,308.0
61,2,kMultiplyHeavy,274.0
62,2,kMultiplyHeavy,296.0
63,2,kMultiplyHeavy,252.0
64,5,kExcludedExcited,2888.0
65,0,kCentralGround,2975.0
66,5,kExcludedExcited,9471.0
67,0,kCentralGround,10144.0
68,5,kExcludedExcited,9260.0
69,0,kCentralGround,10157.0
70,0,kCentralGround,12230.0
71,5,kExcludedExcited,27986.0
72,0,kCentralGround,31889.0
73,5,kExcludedExcited,31557.0
74,0,kCentralGround,34575.0
75,0,kCentralGround,12252.0
77,0,kCentralGround,52463.0
78,5,kExcludedExcited,27965.0
79,0,kCentralGround,31380.0
81,4,kExcludedVector,108.0
82,0,kCentralGround,35.0
84,4,kExcludedVector,10382.0
85,0,kCentralGround,4843.0
87,4,kExcludedVector,44287.0
88,0,kCentralGround,20613.0
90,4,kExcludedVector,44645.0
91,0,kCentralGround,20785.0
93,4,kExcludedVector,86596.0
94,0,kCentralGround,102427.0
96,4,kExcludedVector,372813.0
97,0,kCentralGround,437538.0
99,4,kExcludedVector,371933.0
100,0,kCentralGround,437975.0
101,0,kCentralGround,438947.0
102,4,kExcludedVector,373675.0
104,0,kCentralGround,438425.0
105,4,kExcludedVector,373961.0
107,0,kCentralGround,103921.0
108,4,kExcludedVector,86505.0
110,0,kCentralGround,20578.0
111,4,kExcludedVector,44891.0
113,0,kCentralGround,20767.0
114,4,kExcludedVector,45222.0
116,0,kCentralGround,4788.0
117,4,kExcludedVector,10543.0
119,0,kCentralGround,38.0
120,4,kExcludedVector,77.0
122,0,kCentralGround,32420.0
123,5,kExcludedExcited,27633.0
124,0,kCentralGround,52059.0
126,0,kCentralGround,12382.0
127,0,kCentralGround,35349.0
128,5,kExcludedExcited,30852.0
129,0,kCentralGround,32763.0
130,5,kExcludedExcited,28049.0
131,0,kCentralGround,12291.0
132,0,kCentralGround,10550.0
133,5,kExcludedExcited,9471.0
134,0,kCentralGround,10677.0
135,5,kExcludedExcited,9561.0
136,0,kCentralGround,3237.0
137,5,kExcludedExcited,2941.0
138,2,kMultiplyHeavy,308.0
139,2,kMultiplyHeavy,286.0
140,2,kMultiplyHeavy,238.0
141,2,kMultiplyHeavy,308.0
142,2,kMultiplyHeavy,38.0
143,2,kMultiplyHeavy,68.0
145,0,kCentralGround,6730.0
146,5,kExcludedExcited,6456.0
147,0,kCentralGround,8413.0
148,0,kCentralGround,2003.0
149,5,kExcludedExcited,52.0
150,0,kCentralGround,7825.0
151,5,kExcludedExcited,7827.0
152,0,kCentralGround,6917.0
153,5,kExcludedExcited,6599.0
154,0,kCentralGround,1981.0
155,5,kExcludedExcited,53.0
156,0,kCentralGround,2173.0
157,5,kExcludedExcited,2341.0
158,0,kCentralGround,2149.0
159,5,kExcludedExcited,2283.0
160,0,kCentralGround,659.0
161,5,kExcludedExcited,596.0
162,5,kExcludedExcited,9.0
163,5,kExcludedExcited,82.0
164,5,kExcludedExcited,76.0
165,5,kExcludedExcited,68.0
166,5,kExcludedExcited,60.0
167,5,kExcludedExcited,11.0
168,5,kExcludedExcited,13.0
171,2,kMultiplyHeavy,18.0
172,2,kMultiplyHeavy,6.0
173,2,kMultiplyHeavy,14.0
174,2,kMultiplyHeavy,4.0
175,2,kMultiplyHeavy,4.0
