observable,total,share_pct
D0 (104),1185910.0,25.592270806627734
Dbar0 (97),1182213.0,25.51248850850047
D+ (101),436471.0,9.41916674219765
D- (100),435469.0,9.39754330083343
Lambda_c+ (124),261901.0,5.651897122485358
Lambda_cbar- (77),257103.0,5.548354935194417
D_s+ (107),161979.0,3.4955523041265812
D_s- (94),161414.0,3.4833594454731043
B- (88),69297.0,1.4954487187787286
B+ (113),68814.0,1.4850254431510663
B0 (110),68790.0,1.4845075164118036
Bbar0 (91),68673.0,1.4819826235578977
Lambda_b0 (147),55361.0,1.1947059255135029
Lambda_bbar0 (54),54410.0,1.174183078470217
Xi_c0 (126),26656.0,0.5752439650744735
Xi_c+ (131),26632.0,0.5747260383352109
Xi_cbar0 (75),26537.0,0.5726759116589625
Xi_cbar- (70),25972.0,0.5604830530054857
B_sbar0 (85),13916.0,0.3003111876491737
B_s0 (116),13721.0,0.296103032892664
Xi_b0 (154),5512.0,0.11895050778400729
Xi_bbar0 (47),5479.0,0.11823835851752103
Xi_bbar+ (53),5475.0,0.11815203739431057
Xi_b- (148),5401.0,0.11655509661491716
Omega_c0 (136),3312.0,0.07147389001825692
Omega_cbar0 (65),3101.0,0.0669204507689054
UNMAPPED/kMultiplyHeavy,2148.0,0.04635444316401445
Omega_bbar+ (41),756.0,0.016314692286776036
Omega_b- (160),742.0,0.016012568355539443
UNMAPPED/kExcludedExcited,695.0,0.014998295157816593
