ordinal,category,category_name,total
26,2,kMultiplyHeavy,2.0
27,2,kMultiplyHeavy,2.0
28,2,kMultiplyHeavy,2.0
29,2,kMultiplyHeavy,2.0
30,2,kMultiplyHeavy,8.0
33,5,kExcludedExcited,1.0
34,5,kExcludedExcited,4.0
35,5,kExcludedExcited,17.0
36,5,kExcludedExcited,82.0
37,5,kExcludedExcited,16.0
38,5,kExcludedExcited,80.0
39,5,kExcludedExcited,10.0
40,5,kExcludedExcited,59.0
41,0,kCentralGround,697.0
42,5,kExcludedExcited,352.0
43,0,kCentralGround,3285.0
44,5,kExcludedExcited,323.0
45,0,kCentralGround,3264.0
46,5,kExcludedExcited,62.0
47,0,kCentralGround,1842.0
48,5,kExcludedExcited,1868.0
49,0,kCentralGround,12600.0
50,5,kExcludedExcited,1899.0
51,0,kCentralGround,14109.0
52,5,kExcludedExcited,64.0
53,0,kCentralGround,1888.0
54,0,kCentralGround,9449.0
55,5,kExcludedExcited,1815.0
56,0,kCentralGround,12670.0
58,2,kMultiplyHeavy,32.0
59,2,kMultiplyHeavy,76.0
60,2,kMultiplyHeavy,138.0
61,2,kMultiplyHeavy,316.0
62,2,kMultiplyHeavy,162.0
63,2,kMultiplyHeavy,346.0
64,5,kExcludedExcited,367.0
65,0,kCentralGround,2734.0
66,5,kExcludedExcited,1693.0
67,0,kCentralGround,13049.0
68,5,kExcludedExcited,1724.0
69,0,kCentralGround,13308.0
70,0,kCentralGround,11230.0
71,5,kExcludedExcited,10175.0
72,0,kCentralGround,53877.0
73,5,kExcludedExcited,9881.0
74,0,kCentralGround,58118.0
75,0,kCentralGround,11505.0
77,0,kCentralGround,60605.0
78,5,kExcludedExcited,10405.0
79,0,kCentralGround,54042.0
81,4,kExcludedVector,103.0
82,0,kCentralGround,46.0
84,4,kExcludedVector,9462.0
85,0,kCentralGround,4305.0
87,4,kExcludedVector,47650.0
88,0,kCentralGround,21647.0
90,4,kExcludedVector,46911.0
91,0,kCentralGround,21762.0
93,4,kExcludedVector,74403.0
94,0,kCentralGround,87011.0
96,4,kExcludedVector,372288.0
97,0,kCentralGround,436687.0
99,4,kExcludedVector,373238.0
100,0,kCentralGround,435469.0
101,0,kCentralGround,436471.0
102,4,kExcludedVector,374371.0
104,0,kCentralGround,437891.0
105,4,kExcludedVector,373648.0
107,0,kCentralGround,87323.0
108,4,kExcludedVector,74656.0
110,0,kCentralGround,21677.0
111,4,kExcludedVector,47113.0
113,0,kCentralGround,21617.0
114,4,kExcludedVector,47197.0
116,0,kCentralGround,4319.0
117,4,kExcludedVector,9255.0
119,0,kCentralGround,45.0
120,4,kExcludedVector,102.0
122,0,kCentralGround,55824.0
123,5,kExcludedExcited,10306.0
124,0,kCentralGround,60323.0
126,0,kCentralGround,11343.0
127,0,kCentralGround,58578.0
128,5,kExcludedExcited,10198.0
129,0,kCentralGround,56145.0
130,5,kExcludedExcited,10527.0
131,0,kCentralGround,11405.0
132,0,kCentralGround,13574.0
133,5,kExcludedExcited,1739.0
134,0,kCentralGround,13503.0
135,5,kExcludedExcited,1724.0
136,0,kCentralGround,2939.0
137,5,kExcludedExcited,373.0
138,2,kMultiplyHeavy,316.0
139,2,kMultiplyHeavy,144.0
140,2,kMultiplyHeavy,326.0
141,2,kMultiplyHeavy,160.0
142,2,kMultiplyHeavy,62.0
143,2,kMultiplyHeavy,20.0
145,0,kCentralGround,12962.0
146,5,kExcludedExcited,1835.0
147,0,kCentralGround,9375.0
148,0,kCentralGround,1820.0
149,5,kExcludedExcited,74.0
150,0,kCentralGround,14256.0
151,5,kExcludedExcited,1848.0
152,0,kCentralGround,13205.0
153,5,kExcludedExcited,1880.0
154,0,kCentralGround,1859.0
155,5,kExcludedExcited,53.0
156,0,kCentralGround,3251.0
157,5,kExcludedExcited,330.0
158,0,kCentralGround,3307.0
159,5,kExcludedExcited,346.0
160,0,kCentralGround,671.0
161,5,kExcludedExcited,71.0
162,5,kExcludedExcited,12.0
163,5,kExcludedExcited,86.0
164,5,kExcludedExcited,7.0
165,5,kExcludedExcited,97.0
166,5,kExcludedExcited,11.0
167,5,kExcludedExcited,18.0
168,5,kExcludedExcited,1.0
171,2,kMultiplyHeavy,6.0
172,2,kMultiplyHeavy,12.0
173,2,kMultiplyHeavy,10.0
174,2,kMultiplyHeavy,2.0
175,2,kMultiplyHeavy,2.0
176,2,kMultiplyHeavy,2.0
