ordinal,pdg,category,category_name,published_replicated,dedup_low,dedup_high,basis
40,-5334,5,kExcludedExcited,5278,203.000000,203.000000,beauty-only /26
41,-5332,0,kCentralGround,2808,108.000000,108.000000,beauty-only /26
42,-5324,5,kExcludedExcited,34320,1320.000000,1320.000000,beauty-only /26
43,-5322,0,kCentralGround,17810,685.000000,685.000000,beauty-only /26
44,-5314,5,kExcludedExcited,33800,1300.000000,1300.000000,beauty-only /26
45,-5312,0,kCentralGround,17524,674.000000,674.000000,beauty-only /26
47,-5232,0,kCentralGround,281242,10817.000000,10817.000000,beauty-only /26
48,-5224,5,kExcludedExcited,202410,7785.000000,7785.000000,beauty-only /26
49,-5222,0,kCentralGround,101764,3914.000000,3914.000000,beauty-only /26
50,-5214,5,kExcludedExcited,205088,7888.000000,7888.000000,beauty-only /26
51,-5212,0,kCentralGround,102570,3945.000000,3945.000000,beauty-only /26
53,-5132,0,kCentralGround,278824,10724.000000,10724.000000,beauty-only /26
54,-5122,0,kCentralGround,1560702,60027.000000,60027.000000,beauty-only /26
55,-5114,5,kExcludedExcited,206674,7949.000000,7949.000000,beauty-only /26
56,-5112,0,kCentralGround,102154,3929.000000,3929.000000,beauty-only /26
64,-4334,5,kExcludedExcited,44088,1837.000000,1837.000000,charm-only /24
65,-4332,0,kCentralGround,22824,951.000000,951.000000,charm-only /24
66,-4324,5,kExcludedExcited,282720,11780.000000,11780.000000,charm-only /24
67,-4322,0,kCentralGround,143136,5964.000000,5964.000000,charm-only /24
68,-4314,5,kExcludedExcited,287712,11988.000000,11988.000000,charm-only /24
69,-4312,0,kCentralGround,144504,6021.000000,6021.000000,charm-only /24
70,-4232,0,kCentralGround,2367912,98663.000000,98663.000000,charm-only /24
71,-4224,5,kExcludedExcited,1696848,70702.000000,70702.000000,charm-only /24
72,-4222,0,kCentralGround,854784,35616.000000,35616.000000,charm-only /24
73,-4214,5,kExcludedExcited,1684032,70168.000000,70168.000000,charm-only /24
74,-4212,0,kCentralGround,846552,35273.000000,35273.000000,charm-only /24
75,-4132,0,kCentralGround,2350656,97944.000000,97944.000000,charm-only /24
77,-4122,0,kCentralGround,13043328,543472.000000,543472.000000,charm-only /24
78,-4114,5,kExcludedExcited,1693416,70559.000000,70559.000000,charm-only /24
79,-4112,0,kCentralGround,851160,35465.000000,35465.000000,charm-only /24
81,-543,4,kExcludedVector,42798,1646.076923,1783.250000,mixed-sector bracket /26..24
82,-541,0,kCentralGround,20418,785.307692,850.750000,mixed-sector bracket /26..24
84,-533,4,kExcludedVector,4594434,176709.000000,176709.000000,beauty-only /26
85,-531,0,kCentralGround,2110082,81157.000000,81157.000000,beauty-only /26
87,-523,4,kExcludedVector,20548918,790343.000000,790343.000000,beauty-only /26
88,-521,0,kCentralGround,9351550,359675.000000,359675.000000,beauty-only /26
