observable,total,share_pct
D0 (104),1523836.0,28.37758994327037
Dbar0 (97),1517892.0,28.266897982571976
D+ (101),555227.0,10.339698058998591
D- (100),553678.0,10.310851853224397
D_s+ (107),229650.0,4.276650197575094
D_s- (94),228995.0,4.2644524798332615
B+ (113),115674.0,2.154135575677341
B- (88),115228.0,2.1458299541309946
Bbar0 (91),114977.0,2.141155714202445
B0 (110),114672.0,2.1354758609028135
Lambda_c+ (124),88188.0,1.6422783697964396
Lambda_cbar- (77),86176.0,1.6048099604887058
B_sbar0 (85),26410.0,0.4918194283385945
B_s0 (116),25930.0,0.48288064281786275
Xi_c+ (131),11894.0,0.22149565621579867
Xi_c0 (126),11696.0,0.21780840718849684
Xi_cbar0 (75),11637.0,0.2167096814682402
Xi_cbar- (70),11563.0,0.21533161870046075
Lambda_b0 (147),10889.0,0.2027800740317666
Lambda_bbar0 (54),9599.0,0.17875708794480002
Xi_b0 (154),1457.0,0.027132938549387815
Xi_b- (148),1417.0,0.026388039755993502
Xi_bbar0 (47),1271.0,0.023669159160104262
Xi_bbar+ (53),1231.0,0.022924260366709952
Omega_c0 (136),311.0,0.0057915881186407754
Omega_cbar0 (65),275.0,0.005121179204585895
Omega_b- (160),54.0,0.0010056133710823212
Omega_bbar+ (41),29.0,0.0005400516252108762
UNMAPPED/kExcludedExcited,1.0,1.86224698348578e-05
