ordinal,category,category_name,total
40,5,kExcludedExcited,28.0
41,0,kCentralGround,12.0
42,5,kExcludedExcited,137.0
43,0,kCentralGround,73.0
44,5,kExcludedExcited,136.0
45,0,kCentralGround,72.0
47,0,kCentralGround,1078.0
48,5,kExcludedExcited,770.0
49,0,kCentralGround,373.0
50,5,kExcludedExcited,767.0
51,0,kCentralGround,404.0
53,0,kCentralGround,1055.0
54,0,kCentralGround,6001.0
55,5,kExcludedExcited,792.0
56,0,kCentralGround,353.0
64,5,kExcludedExcited,173.0
65,0,kCentralGround,100.0
66,5,kExcludedExcited,1185.0
67,0,kCentralGround,595.0
68,5,kExcludedExcited,1223.0
69,0,kCentralGround,603.0
70,0,kCentralGround,9851.0
71,5,kExcludedExcited,7157.0
72,0,kCentralGround,3535.0
73,5,kExcludedExcited,7061.0
74,0,kCentralGround,3555.0
75,0,kCentralGround,9775.0
77,0,kCentralGround,54235.0
78,5,kExcludedExcited,7024.0
79,0,kCentralGround,3603.0
81,4,kExcludedVector,150.0
82,0,kCentralGround,88.0
84,4,kExcludedVector,17840.0
85,0,kCentralGround,7877.0
87,4,kExcludedVector,79139.0
88,0,kCentralGround,35708.0
90,4,kExcludedVector,79095.0
91,0,kCentralGround,36060.0
93,4,kExcludedVector,105755.0
94,0,kCentralGround,123090.0
96,4,kExcludedVector,481551.0
97,0,kCentralGround,553799.0
99,4,kExcludedVector,482464.0
100,0,kCentralGround,553179.0
101,0,kCentralGround,554659.0
102,4,kExcludedVector,482775.0
104,0,kCentralGround,554615.0
105,4,kExcludedVector,482929.0
107,0,kCentralGround,122408.0
108,4,kExcludedVector,106798.0
110,0,kCentralGround,35921.0
111,4,kExcludedVector,78847.0
113,0,kCentralGround,35808.0
114,4,kExcludedVector,79006.0
116,0,kCentralGround,8058.0
117,4,kExcludedVector,17773.0
119,0,kCentralGround,76.0
120,4,kExcludedVector,149.0
122,0,kCentralGround,3732.0
123,5,kExcludedExcited,7282.0
124,0,kCentralGround,55020.0
126,0,kCentralGround,9612.0
127,0,kCentralGround,3891.0
128,5,kExcludedExcited,7208.0
129,0,kCentralGround,3842.0
130,5,kExcludedExcited,7279.0
131,0,kCentralGround,9999.0
132,0,kCentralGround,688.0
133,5,kExcludedExcited,1235.0
134,0,kCentralGround,659.0
135,5,kExcludedExcited,1189.0
136,0,kCentralGround,102.0
137,5,kExcludedExcited,222.0
145,0,kCentralGround,608.0
146,5,kExcludedExcited,893.0
147,0,kCentralGround,5957.0
148,0,kCentralGround,1116.0
150,0,kCentralGround,570.0
151,5,kExcludedExcited,930.0
152,0,kCentralGround,646.0
153,5,kExcludedExcited,958.0
154,0,kCentralGround,1106.0
156,0,kCentralGround,113.0
157,5,kExcludedExcited,160.0
158,0,kCentralGround,118.0
159,5,kExcludedExcited,175.0
160,0,kCentralGround,22.0
161,5,kExcludedExcited,37.0
