observable,total,share_pct
D0 (104),15221399.0,28.365101936521086
Dbar0 (97),15176227.0,28.280923840626183
D+ (101),5548552.0,10.339735728633611
D- (100),5539287.0,10.322470385977404
D_s+ (107),2292448.0,4.271980598115448
D_s- (94),2290531.0,4.268408265479512
B+ (113),1150550.0,2.1440518071344385
B- (88),1150018.0,2.1430604242641627
B0 (110),1149410.0,2.141927415269562
Bbar0 (91),1149121.0,2.1413888632968
Lambda_c+ (124),880133.0,1.6401292852710918
Lambda_cbar- (77),861255.0,1.604950101389397
B_s0 (116),261119.0,0.4865956836531549
B_sbar0 (85),260298.0,0.48506574881011694
Xi_c+ (131),118152.0,0.2201764452796907
Xi_c0 (126),117542.0,0.2190397092818184
Xi_cbar- (70),116407.0,0.2169246349251215
Xi_cbar0 (75),115953.0,0.21607860518244276
Lambda_b0 (147),107931.0,0.20112959505960373
Lambda_bbar0 (54),95437.0,0.17784700562121541
Xi_b0 (154),14325.0,0.026694660933641153
Xi_b- (148),14100.0,0.026275373065573492
Xi_bbar0 (47),12822.0,0.02389381797494917
Xi_bbar+ (53),12698.0,0.023662743772102993
Omega_c0 (136),3078.0,0.005735858035165618
Omega_cbar0 (65),2788.0,0.005195442560767298
Omega_b- (160),513.0,0.0009559763391942696
Omega_bbar+ (41),311.0,0.0005795490087513018
UNMAPPED/kMultiplyHeavy,8.0,1.4908013086850209e-05
UNMAPPED/kExcludedExcited,3.0,5.590504907568828e-06
