ordinal,category,category_name,total
40,5,kExcludedExcited,5278.0
41,0,kCentralGround,2808.0
42,5,kExcludedExcited,34320.0
43,0,kCentralGround,17810.0
44,5,kExcludedExcited,33800.0
45,0,kCentralGround,17524.0
47,0,kCentralGround,281242.0
48,5,kExcludedExcited,202410.0
49,0,kCentralGround,101764.0
50,5,kExcludedExcited,205088.0
51,0,kCentralGround,102570.0
53,0,kCentralGround,278824.0
54,0,kCentralGround,1560702.0
55,5,kExcludedExcited,206674.0
56,0,kCentralGround,102154.0
64,5,kExcludedExcited,44088.0
65,0,kCentralGround,22824.0
66,5,kExcludedExcited,282720.0
67,0,kCentralGround,143136.0
68,5,kExcludedExcited,287712.0
69,0,kCentralGround,144504.0
70,0,kCentralGround,2367912.0
71,5,kExcludedExcited,1696848.0
72,0,kCentralGround,854784.0
73,5,kExcludedExcited,1684032.0
74,0,kCentralGround,846552.0
75,0,kCentralGround,2350656.0
77,0,kCentralGround,13043328.0
78,5,kExcludedExcited,1693416.0
79,0,kCentralGround,851160.0
81,4,kExcludedVector,42798.0
82,0,kCentralGround,20418.0
84,4,kExcludedVector,4594434.0
85,0,kCentralGround,2110082.0
87,4,kExcludedVector,20548918.0
88,0,kCentralGround,9351550.0
90,4,kExcludedVector,20514780.0
91,0,kCentralGround,9362366.0
93,4,kExcludedVector,25509000.0
94,0,kCentralGround,29463744.0
96,4,kExcludedVector,115611792.0
97,0,kCentralGround,132986256.0
99,4,kExcludedVector,115631400.0
100,0,kCentralGround,132942888.0
101,0,kCentralGround,133165248.0
102,4,kExcludedVector,116061528.0
104,0,kCentralGround,133233624.0
105,4,kExcludedVector,116018424.0
107,0,kCentralGround,29442240.0
108,4,kExcludedVector,25576512.0
110,0,kCentralGround,9375808.0
111,4,kExcludedVector,20508852.0
113,0,kCentralGround,9356828.0
114,4,kExcludedVector,20557472.0
116,0,kCentralGround,2109796.0
117,4,kExcludedVector,4613388.0
119,0,kCentralGround,19942.0
120,4,kExcludedVector,45928.0
122,0,kCentralGround,933000.0
123,5,kExcludedExcited,1751784.0
124,0,kCentralGround,13091112.0
126,0,kCentralGround,2358552.0
127,0,kCentralGround,929016.0
128,5,kExcludedExcited,1742088.0
129,0,kCentralGround,916344.0
130,5,kExcludedExcited,1759848.0
131,0,kCentralGround,2372616.0
132,0,kCentralGround,159744.0
133,5,kExcludedExcited,302712.0
134,0,kCentralGround,160128.0
135,5,kExcludedExcited,302904.0
136,0,kCentralGround,25128.0
137,5,kExcludedExcited,48744.0
139,2,kMultiplyHeavy,96.0
141,2,kMultiplyHeavy,48.0
143,2,kMultiplyHeavy,48.0
145,0,kCentralGround,162396.0
146,5,kExcludedExcited,240994.0
147,0,kCentralGround,1579812.0
148,0,kCentralGround,291304.0
150,0,kCentralGround,162188.0
151,5,kExcludedExcited,249626.0
152,0,kCentralGround,166452.0
153,5,kExcludedExcited,244738.0
154,0,kCentralGround,294814.0
156,0,kCentralGround,30732.0
157,5,kExcludedExcited,44564.0
158,0,kCentralGround,31070.0
159,5,kExcludedExcited,46566.0
160,0,kCentralGround,5590.0
161,5,kExcludedExcited,7748.0
162,5,kExcludedExcited,26.0
163,5,kExcludedExcited,26.0
164,5,kExcludedExcited,0.0
165,5,kExcludedExcited,26.0
