ordinal,category,category_name,total
40,5,kExcludedExcited,468.0
41,0,kCentralGround,286.0
42,5,kExcludedExcited,3224.0
43,0,kCentralGround,1586.0
44,5,kExcludedExcited,3458.0
45,0,kCentralGround,1456.0
47,0,kCentralGround,28236.0
48,5,kExcludedExcited,21476.0
49,0,kCentralGround,10322.0
50,5,kExcludedExcited,20124.0
51,0,kCentralGround,11258.0
53,0,kCentralGround,27092.0
54,0,kCentralGround,157508.0
55,5,kExcludedExcited,19500.0
56,0,kCentralGround,9386.0
64,5,kExcludedExcited,4368.0
65,0,kCentralGround,2232.0
66,5,kExcludedExcited,28392.0
67,0,kCentralGround,14928.0
68,5,kExcludedExcited,28680.0
69,0,kCentralGround,15048.0
70,0,kCentralGround,234192.0
71,5,kExcludedExcited,165240.0
72,0,kCentralGround,85920.0
73,5,kExcludedExcited,170184.0
74,0,kCentralGround,84072.0
75,0,kCentralGround,235560.0
77,0,kCentralGround,1306104.0
78,5,kExcludedExcited,171360.0
79,0,kCentralGround,85344.0
81,4,kExcludedVector,3924.0
82,0,kCentralGround,2002.0
84,4,kExcludedVector,464126.0
85,0,kCentralGround,216606.0
87,4,kExcludedVector,2052362.0
88,0,kCentralGround,943566.0
90,4,kExcludedVector,2052232.0
91,0,kCentralGround,937170.0
93,4,kExcludedVector,2548536.0
94,0,kCentralGround,2947344.0
96,4,kExcludedVector,11546112.0
97,0,kCentralGround,13312896.0
99,4,kExcludedVector,11570400.0
100,0,kCentralGround,13288272.0
101,0,kCentralGround,13325448.0
102,4,kExcludedVector,11636616.0
104,0,kCentralGround,13311936.0
105,4,kExcludedVector,11623512.0
107,0,kCentralGround,2949528.0
108,4,kExcludedVector,2562072.0
110,0,kCentralGround,937222.0
111,4,kExcludedVector,2044250.0
113,0,kCentralGround,941694.0
114,4,kExcludedVector,2065830.0
116,0,kCentralGround,209768.0
117,4,kExcludedVector,458224.0
119,0,kCentralGround,2032.0
120,4,kExcludedVector,4160.0
122,0,kCentralGround,93240.0
123,5,kExcludedExcited,175944.0
124,0,kCentralGround,1310544.0
126,0,kCentralGround,236688.0
127,0,kCentralGround,91008.0
128,5,kExcludedExcited,176064.0
129,0,kCentralGround,90576.0
130,5,kExcludedExcited,179136.0
131,0,kCentralGround,239376.0
132,0,kCentralGround,15792.0
133,5,kExcludedExcited,28224.0
134,0,kCentralGround,16416.0
135,5,kExcludedExcited,29664.0
136,0,kCentralGround,2496.0
137,5,kExcludedExcited,4968.0
145,0,kCentralGround,15262.0
146,5,kExcludedExcited,24388.0
147,0,kCentralGround,160368.0
148,0,kCentralGround,29406.0
150,0,kCentralGround,16822.0
151,5,kExcludedExcited,25558.0
152,0,kCentralGround,16276.0
153,5,kExcludedExcited,24440.0
154,0,kCentralGround,29718.0
156,0,kCentralGround,3120.0
157,5,kExcludedExcited,4316.0
158,0,kCentralGround,3484.0
159,5,kExcludedExcited,4680.0
160,0,kCentralGround,598.0
161,5,kExcludedExcited,806.0
163,5,kExcludedExcited,26.0
