scope,tune_id,quantity,unit,value,status,reason_codes
SELECTED_ACCEPTED_QUERY_SOURCES,CLOSEPACKING,successful_events,event,100000000,AVAILABLE,[]
SELECTED_ACCEPTED_QUERY_SOURCES,JUNCTIONS,successful_events,event,100000000,AVAILABLE,[]
SELECTED_ACCEPTED_QUERY_SOURCES,MONASH,successful_events,event,100000000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,MONASH,successful_events,event,100000000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,MONASH,submitted_attempts,job_attempt,1000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,MONASH,accepted_attempts,job_attempt,1000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,MONASH,discarded_attempts,job_attempt,0,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,JUNCTIONS,successful_events,event,100000000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,JUNCTIONS,submitted_attempts,job_attempt,1063,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,JUNCTIONS,accepted_attempts,job_attempt,1000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,JUNCTIONS,discarded_attempts,job_attempt,63,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,CLOSEPACKING,successful_events,event,100000000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,CLOSEPACKING,submitted_attempts,job_attempt,1064,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,CLOSEPACKING,accepted_attempts,job_attempt,1000,AVAILABLE,[]
ACCEPTED_LEDGER_ONLY_NO_QUERY_CLOSURE,CLOSEPACKING,discarded_attempts,job_attempt,64,AVAILABLE,[]
ALL_SUBMITTED_CAMPAIGN_ATTEMPTS,MONASH,generator_event_trials,event_trial,,UNAVAILABLE,"[""EVENT_TRIAL_COUNTS_NOT_RECORDED_IN_VERIFIED_INPUTS""]"
ALL_SUBMITTED_CAMPAIGN_ATTEMPTS,JUNCTIONS,generator_event_trials,event_trial,,UNAVAILABLE,"[""EVENT_TRIAL_COUNTS_NOT_RECORDED_IN_VERIFIED_INPUTS""]"
ALL_SUBMITTED_CAMPAIGN_ATTEMPTS,CLOSEPACKING,generator_event_trials,event_trial,,UNAVAILABLE,"[""EVENT_TRIAL_COUNTS_NOT_RECORDED_IN_VERIFIED_INPUTS""]"
