path,class,what,why,refs,entrypoint,voice,dead,grouped
.gitignore,PUBLIC,"The ignore rules, each annotated with the incident that motivated it, including the rule that keeps the third-party writing standard out of history.",A clone needs it to keep build products and campaign scratch out of the tree.,21,,needs-rewrite,n/a,
.mailmap,INTERNAL,"Maps seven author identities, including personal and cluster host addresses, onto one canonical contributor.","The export is one initial commit with no ancestry, so a mailmap has no history to fold and would only publish the address list.",1,,clean,n/a,
ARCHITECTURE.md,PUBLIC,"Explains what the repository measures and how the stages connect, written for a physicist who has never used ROOT or PYTHIA.",It is the conceptual entry point a reader needs before rerunning anything.,8,,needs-rewrite,n/a,
AnalysisScripts/AssociateOriginCategoryContract.h,PUBLIC,Declares the associate-origin category contract the pair objects are written against.,The category axis of every published decomposition is defined by it.,18,,clean,no,
AnalysisScripts/GeneratedPairObjectContract.h,PUBLIC,"The generated C++ view of the pair-file object contract, replacing three hand-maintained lists that had drifted apart.",It is a golden output and the closure counts derive from it.,20,,clean,no,
AnalysisScripts/GeneratedPairRegistry.h,PUBLIC,"The generated C++ view of the expanded pair registry, carrying its source digest.","It is a golden output the analysis, merge and closure all compile against.",30,,clean,no,
AnalysisScripts/GeneratedSpeciesOrdinals.h,PUBLIC,"The generated C++ view of the species ordinal table, so the ROOT-only analysis needs no JSON parser.",It is a golden output that puts the species axis into the compiled chain.,15,,clean,no,
AnalysisScripts/anchors/MANIFEST.md,PUBLIC,"The index of every anchor directory, naming what each one anchors and whether its provenance is complete or incomplete.","It is the entry point to the provenance chain and states, per anchor, what can be verified and what cannot.",20,,needs-rewrite,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/MANIFEST.md,PUBLIC,"The manifest of the per-tune minimum-bias N_ch anchor, the evidence behind the multiplicity class definition and figure 3.","The paper-facing class translation table is recomputed from it rather than transcribed, which is a reproducibility claim.",20,,needs-rewrite,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/dump_nch.C,PUBLIC,The ROOT macro that dumps the minimum-bias N_ch distribution per tune into the committed CSV and ROOT pair.,"It is the committed consumer of the anchor, so the class boundaries can be rederived rather than trusted.",3,,clean,no,
AnalysisScripts/anchors/b4_multiplicity_mb/nch_mb_CLOSEPACKING.csv,PUBLIC,The CLOSEPACKING minimum-bias charged-multiplicity distribution as text.,"The published multiplicity class boundaries are derived from these distributions, so checking a boundary needs them.",0,,clean,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/nch_mb_CLOSEPACKING.root,PUBLIC,The CLOSEPACKING minimum-bias charged-multiplicity histogram in ROOT form.,"It is the binary the dump macro reads, and the CSV alone loses the binning the boundaries were cut on.",0,,clean,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/nch_mb_JUNCTIONS.csv,PUBLIC,The JUNCTIONS minimum-bias charged-multiplicity distribution as text.,"The published multiplicity class boundaries are derived from these distributions, so checking a boundary needs them.",0,,clean,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/nch_mb_JUNCTIONS.root,PUBLIC,The JUNCTIONS minimum-bias charged-multiplicity histogram in ROOT form.,"It is the binary the dump macro reads, and the CSV alone loses the binning the boundaries were cut on.",0,,clean,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/nch_mb_MONASH.csv,PUBLIC,The MONASH minimum-bias charged-multiplicity distribution as text.,"The published multiplicity class boundaries are derived from these distributions, so checking a boundary needs them.",3,,clean,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/nch_mb_MONASH.root,PUBLIC,The MONASH minimum-bias charged-multiplicity histogram in ROOT form.,"It is the binary the dump macro reads, and the CSV alone loses the binning the boundaries were cut on.",1,,clean,n/a,
AnalysisScripts/anchors/b4_multiplicity_mb/run_meta.txt,PUBLIC,"The run metadata of the minimum-bias generation: card, seed, event count and where it ran.",It is the provenance line that ties the committed distributions to a specific generator run.,10,,clean,n/a,
AnalysisScripts/anchors/closure_v3_verdicts/MANIFEST.md,PUBLIC,"The manifest of the two closure verdicts that gate the three-tune central table, and where their logs came from.",The brief rules boundary receipts PUBLIC: this is the record that the published table passed its gate.,20,,needs-rewrite,n/a,
AnalysisScripts/anchors/closure_v3_verdicts/closure_HF_RUN3_V1_CLOSEPACKING_20260815_220842.log,PUBLIC,The full CLOSEPACKING pair-block closure run log ending in its CANONICAL_PAIR_BLOCK_CLOSURE_PASS verdict.,Same role for the third tune's published column.,4,,clean,n/a,
AnalysisScripts/anchors/closure_v3_verdicts/closure_HF_RUN3_V1_JUNCTIONS_20260815_220840.log,PUBLIC,The full JUNCTIONS pair-block closure run log ending in the CANONICAL_PAIR_BLOCK_CLOSURE_PASS verdict.,"It is the receipt behind a published column, and it existed only in cluster scratch before it was committed.",4,,clean,n/a,
AnalysisScripts/anchors/closure_v3_verdicts/closure_waiter.log,PUBLIC,"The waiter's own log, showing when each tune's blocks appeared and when each closure started.",It timestamps the gate runs whose verdicts the published table depends on.,4,,clean,n/a,
AnalysisScripts/anchors/closure_v3_verdicts/closure_waiter.sh,PUBLIC,The polling script that waited for both tunes' blocks to be promoted and then ran the closure gate on each.,"It records how the two committed verdicts were actually produced, which is the invocation half of the receipt.",2,,needs-rewrite,no,
