citing	cited	token	count	lines
.gitignore	docs/writing_standard/STANDARD.md	docs/writing_standard/STANDARD.md	1	106
.gitignore	docs/writing_standard/pdf-page-map.md	pdf-page-map.md	1	107
ARCHITECTURE.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	263
ARCHITECTURE.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	2	181,261
AnalysisScripts/anchors/MANIFEST.md	AnalysisScripts/decay_parent_map_v1.json	decay_parent_map_v1.json	1	13
AnalysisScripts/anchors/MANIFEST.md	docs/MERGE_V3_BAND_VALIDATION.md	docs/MERGE_V3_BAND_VALIDATION.md	1	118
AnalysisScripts/anchors/b4_multiplicity_mb/MANIFEST.md	docs/SCRATCH_RECONCILIATION.md	docs/SCRATCH_RECONCILIATION.md	1	85
AnalysisScripts/anchors/e5fix_drivers/MANIFEST.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	38
AnalysisScripts/anchors/extraction_dual/MANIFEST.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	12
AnalysisScripts/anchors/extraction_dual/MANIFEST.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	36
AnalysisScripts/anchors/extraction_dual/MANIFEST.md	docs/history/handoffs/HANDOFF_20260810_v40_GENERATIONAL.md	HANDOFF_20260810_v40_GENERATIONAL.md	1	99
AnalysisScripts/anchors/merged_monash_dedup/MANIFEST.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	12
Makefile	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	1	30
README.md	RENAMES.md	RENAMES.md	1	253
README.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	3	54,124,250
README.md	docs/REMOVALS.md	docs/REMOVALS.md	1	252
REPRODUCIBILITY.md	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	2	124,207
REPRODUCIBILITY.md	docs/NIKHEF_BRINGUP.md	docs/NIKHEF_BRINGUP.md	2	8,168
STATE.md	RELEASE_BLOCKERS.md	RELEASE_BLOCKERS.md	1	54
STATE.md	docs/CHECKOUT_SYNC_PROCEDURE.md	docs/CHECKOUT_SYNC_PROCEDURE.md	1	255
STATE.md	docs/ERROR_RECORD.md	ERROR_RECORD.md	1	86
STATE.md	docs/ERROR_RECORD.md	docs/ERROR_RECORD.md	1	96
