path	term	canonical	count	lines
ARCHITECTURE.md	checksum	digest	5	61,98,99,257
ARCHITECTURE.md	hadronisation	hadronization	2	18,20
AnalysisScripts/anchors/e5fix_drivers/MANIFEST.md	merged directory	merged product	1	18
README.md	analysed	analyzed	1	275
README.md	checksum	digest	1	23
README.md	frozen artifact	anchor	1	189
README.md	merged directory	merged product	1	97
REPRODUCIBILITY.md	checksum	digest	1	146
REPRODUCIBILITY.md	production run	campaign	1	178
STATE.md	multiplicity bin	multiplicity class	1	281
ValidationReports/PTHAT_MULTIPLICITY_SCAN_8317.md	checksum	digest	1	159
ValidationReports/PYTHIA_JUNCTION_HANG_20260731.md	hash	digest	1	247
analysis/Analysis_README.md	checksum	digest	5	34,101,126,142,223
analysis/Analysis_README.md	merged directory	merged product	1	306
docs/A2_PAIR_UNRESOLVED_RUN_RECORD.md	bundle	tune	2	130,132
docs/A2_PAIR_UNRESOLVED_RUN_RECORD.md	checksum	digest	1	146
docs/COMPONENTS.md	analysed	analyzed	1	98
docs/COMPONENTS.md	checksum	digest	1	385
docs/COMPONENTS.md	fingerprint	digest	1	371
docs/COMPONENTS.md	merge product	merged product	1	498
docs/COMPONENTS.md	merged directory	merged product	1	137
docs/COMPONENTS.md	pair set	pair directory	1	384
docs/DESIGN_AND_RATIONALE.md	checksum	digest	2	554,758
docs/DESIGN_AND_RATIONALE.md	config	configuration	1	562
docs/DESIGN_AND_RATIONALE.md	hadronisation	hadronization	9	30,32,107,139,194,269,691,694,718
docs/EXTRACTION_CONVENTIONS.md	merged directory	merged product	1	21
docs/F3_VIRTUAL_TRIGGER_CLOSURE.md	hash	digest	1	60
docs/FIGURE_INVENTORY.md	analysed	analyzed	2	357,361
docs/FIGURE_INVENTORY.md	committed artifact	anchor	2	221,700
docs/FIGURE_INVENTORY.md	config	configuration	7	254,313,372,376,446,450,1074
docs/FIGURE_INVENTORY.md	hadronisation	hadronization	1	883
docs/FIGURE_INVENTORY.md	multiplicity bin	multiplicity class	1	342
docs/FIGURE_INVENTORY.md	pair set	pair directory	1	361
docs/GATE_3000.md	checksum	digest	1	298
docs/GOLDEN_OUTPUTS.md	analysed	analyzed	1	2161
docs/GOLDEN_OUTPUTS.md	checksum	digest	2	1033,2709
docs/GOLDEN_OUTPUTS.md	config	configuration	1	2104
docs/GOLDEN_OUTPUTS.md	fingerprint	digest	1	279
docs/GOLDEN_OUTPUTS.md	hadronisation	hadronization	2	1413,1423
docs/GOLDEN_OUTPUTS.md	pair set	pair directory	1	2161
docs/M7_BEAUTY_PREREGISTRATION.md	hadronisation	hadronization	1	31
docs/PRODUCTION_SHAPE_DECISION.md	analysed	analyzed	1	512
docs/PRODUCTION_SHAPE_DECISION.md	hadronisation	hadronization	1	128
docs/REGISTRY_AND_MAPPING_PROPOSAL.md	analysed	analyzed	1	474
docs/REGISTRY_AND_MAPPING_PROPOSAL.md	analysis pass	reduction	1	260
docs/REGISTRY_AND_MAPPING_PROPOSAL.md	hadronisation	hadronization	3	155,580,611
docs/REGISTRY_AND_MAPPING_PROPOSAL.md	hash	digest	2	214,544
docs/REGISTRY_AND_MAPPING_PROPOSAL.md	production run	campaign	1	203
docs/SCALING_V3_MEASUREMENT.md	normalisation	normalization	3	44,55,212
docs/SPECIES_AXIS_VALIDATION.md	analysed	analyzed	1	25
docs/SPECIES_AXIS_VALIDATION.md	hash	digest	1	48
docs/SYSTEMATICS.md	bundle	tune	1	445
docs/SYSTEMATICS.md	certificate	receipt	2	648,671
