# Nikhef cleanup removal log
# executed 2026-08-20 from stbc-i1.nikhef.nl, root /data/alice/ipardoza
# scope docs/NIKHEF_CLEANUP_PLAN.md section 7.2
# size_bytes is du -sB1 (allocated blocks) measured before removal
# columns: path	type	size_bytes	removed	group
Hadronization/RootFiles/Previous	dir	15558979584	yes	rootfiles_previous
hadronization_production/HF_SMOKE	dir	565248	yes	smoke_campaigns
hadronization_production/HF_SMOKE2	dir	2719801344	yes	smoke_campaigns
hadronization_production/PTHAT2	dir	92786688	yes	smoke_campaigns
.vscodium-server	dir	1163640832	yes	editor_cache
Hadronization/logs	dir	190578688	yes	checkout_logs
Hadronization/Logs	dir	6381568	yes	checkout_logs
nikhef_stale_fullprod_20260730	dir	4947968	yes	tripwire_group
Hadronization-Tune-Integration	dir	12906496	yes	tripwire_group
HRP_clean	dir	12222464	yes	tripwire_group
measurements	dir	69632	yes	superseded_measurements
measurements_v2	dir	2846720	yes	superseded_measurements
sys_runs_plot	dir	3559424	yes	superseded_measurements
sys_runs_plot2	dir	28672	yes	superseded_measurements
sys_runs_plot3	dir	598016	yes	superseded_measurements
sys_runs_plot4	dir	3878912	yes	superseded_measurements
__pycache__	dir	12288	yes	empty_and_generated
tmp	dir	4096	yes	empty_and_generated
lib	dir	4096	yes	empty_and_generated
pthat_scan_8317	dir	4096	yes	empty_and_generated
ipardoza	absent	0	no	empty_and_generated
systematics_20260817.bundle	file	58580992	yes	systematics_bundles
systematics_20260817b.bundle	file	58580992	yes	systematics_bundles
systematics_20260817c.bundle	file	58613760	yes	systematics_bundles
tip2.bundle	file	106496	yes	loose_bundles
tip3.bundle	file	114688	yes	loose_bundles
harvest_tip.bundle	file	86016	yes	loose_bundles
amend.tgz	file	77824	yes	loose_tgz
cfgupd.tgz	file	40960	yes	loose_tgz
etafix.tgz	file	28672	yes	loose_tgz
figdeploy.tgz	file	1138688	yes	loose_tgz
figdeploy2.tgz	file	1134592	yes	loose_tgz
harvest_configs.tgz	file	16384	yes	loose_tgz
meas.tgz	file	12288	yes	loose_tgz
polish.tgz	file	57344	yes	loose_tgz
sel2.tgz	file	8192	yes	loose_tgz
selrows.tgz	file	12288	yes	loose_tgz
render_measure.sh	file	4096	yes	render_scripts
render_m.sh	file	4096	yes	render_scripts
render_v2.sh	file	4096	yes	render_scripts
render_variations.sh	file	4096	yes	render_scripts
sys_runs_plot4_control.out	file	0	yes	zero_byte_out
sys_runs_plot4_HF_SYS_MUF_DOWN.out	file	0	yes	zero_byte_out
sys_runs_plot4_HF_SYS_MUR_DOWN.out	file	0	yes	zero_byte_out
sys_runs_plot4_HF_SYS_MUR_UP.out	file	0	yes	zero_byte_out
sys_runs_plot4_HF_SYS_PTHAT_1.out	file	0	yes	zero_byte_out
sys_runs_plot4_HF_SYS_PTHAT_4.out	file	0	yes	zero_byte_out
