nch,count
0,6
1,50
2,217
3,344
4,622
5,860
6,1230
7,1443
8,1732
9,2130
10,2543
11,2871
12,3213
13,3641
14,3877
15,3946
16,4198
17,3948
18,3961
19,3736
20,3661
21,3349
22,3179
23,2967
24,2722
25,2603
26,2453
27,2352
28,2259
29,2133
30,2050
31,1967
32,1900
33,1842
34,1847
35,1775
36,1818
37,1740
38,1648
39,1567
40,1566
41,1509
42,1585
43,1429
44,1431
45,1398
46,1397
47,1323
48,1312
49,1208
50,1261
51,1204
52,1219
53,1218
54,1153
55,1155
56,1126
57,1069
58,1096
59,1043
60,992
61,1019
62,1024
63,1032
64,1014
65,961
66,916
67,901
68,882
69,913
70,866
71,860
72,827
73,807
74,740
75,835
76,767
77,782
78,752
79,742
80,728
81,747
82,730
83,711
84,638
85,704
86,652
87,684
88,663
89,620
90,632
91,659
92,619
93,619
94,599
95,548
96,577
97,528
98,538
99,527
100,518
101,531
102,478
103,469
104,516
105,489
106,497
107,490
108,444
109,422
110,448
111,437
112,457
113,432
114,393
115,402
116,433
117,412
118,380
119,373
120,363
121,392
122,356
123,370
124,346
125,356
126,339
127,330
128,322
129,345
130,338
131,305
132,310
133,266
134,300
135,260
136,291
137,277
138,275
139,292
140,247
141,257
142,241
143,246
144,257
145,230
146,189
147,200
148,225
149,217
150,195
151,213
152,185
153,197
154,182
155,170
156,167
157,158
158,170
159,153
160,142
161,163
162,144
163,127
164,153
165,133
166,124
167,139
168,135
169,126
170,126
171,114
172,118
173,89
174,93
175,105
176,86
177,85
178,83
179,84
180,72
181,79
182,80
183,65
184,74
185,59
186,79
187,49
188,65
189,49
190,44
191,53
192,50
193,46
194,58
195,50
196,45
197,39
198,48
199,31
200,23
201,43
202,32
203,32
204,32
205,27
206,26
207,22
208,28
209,26
210,20
211,23
212,18
213,14
214,13
215,12
216,17
217,16
218,17
219,18
220,21
221,11
222,16
223,12
224,15
225,14
226,11
227,14
228,9
229,12
230,10
231,4
232,10
233,14
234,7
235,5
236,4
237,4
238,3
239,7
240,5
241,8
242,8
243,2
244,5
245,5
246,1
247,2
248,6
249,4
250,4
251,2
252,3
253,3
254,2
255,4
256,1
257,2
258,2
259,1
260,1
261,3
262,3
268,1
271,1
274,2
279,1
283,1
287,1
290,1
