nch,count
0,1
1,52
2,205
3,338
4,593
5,823
6,1106
7,1339
8,1657
9,1939
10,2258
11,2509
12,2909
13,3201
14,3529
15,3788
16,3901
17,3937
18,3850
19,3616
20,3647
21,3495
22,3107
23,3031
24,2718
25,2595
26,2436
27,2385
28,2210
29,2189
30,2069
31,1988
32,1938
33,1866
34,1829
35,1779
36,1654
37,1678
38,1597
39,1603
40,1537
41,1492
42,1476
43,1511
44,1399
45,1352
46,1339
47,1363
48,1304
49,1259
50,1279
51,1183
52,1217
53,1184
54,1182
55,1131
56,1109
57,1080
58,1076
59,1060
60,1025
61,1035
62,998
63,1001
64,954
65,922
66,938
67,924
68,949
69,908
70,892
71,852
72,849
73,870
74,789
75,814
76,815
77,782
78,737
79,717
80,738
81,734
82,754
83,732
84,680
85,650
86,619
87,708
88,692
89,635
90,605
91,605
92,586
93,564
94,603
95,577
96,588
97,579
98,588
99,540
100,528
101,540
102,517
103,500
104,537
105,487
106,493
107,467
108,454
109,493
110,499
111,422
112,420
113,410
114,419
115,478
116,432
117,416
118,393
119,406
120,408
121,439
122,374
123,398
124,392
125,357
126,373
127,351
128,344
129,378
130,303
131,355
132,316
133,297
134,315
135,309
136,315
137,316
138,318
139,287
140,255
141,273
142,263
143,273
144,251
145,264
146,253
147,267
148,255
149,228
150,200
151,213
152,206
153,230
154,211
155,218
156,201
157,195
158,202
159,199
160,204
161,201
162,166
163,208
164,152
165,192
166,165
167,142
168,157
169,161
170,128
171,117
172,145
173,139
174,132
175,146
176,122
177,122
178,100
179,121
180,101
181,108
182,84
183,102
184,100
185,85
186,98
187,88
188,101
189,79
190,75
191,79
192,75
193,84
194,77
195,63
196,67
197,57
198,51
199,55
200,59
201,70
202,53
203,52
204,51
205,46
206,48
207,48
208,38
209,33
210,37
211,33
212,38
213,41
214,41
215,42
216,27
217,22
218,21
219,25
220,29
221,17
222,18
223,18
224,26
225,12
226,21
227,19
228,19
229,26
230,17
231,14
232,15
233,14
234,19
235,15
236,9
237,12
238,12
239,13
240,11
241,8
242,13
243,14
244,8
245,6
246,5
247,7
248,8
249,4
250,6
251,5
252,9
253,7
254,2
255,3
256,8
257,7
258,4
259,1
260,6
261,6
262,2
263,2
264,2
265,1
266,3
267,1
268,3
269,2
270,3
272,5
273,4
274,1
276,3
277,2
278,2
279,3
280,1
281,2
283,3
284,2
285,2
287,1
292,1
296,1
297,1
298,1
299,1
302,1
305,2
307,3
314,1
339,1
