nch,count
0,1
1,34
2,103
3,247
4,488
5,735
6,1065
7,1356
8,1727
9,2189
10,2524
11,3001
12,3391
13,3859
14,4198
15,4221
16,4453
17,4444
18,4227
19,4072
20,3998
21,3764
22,3538
23,3299
24,3146
25,2778
26,2570
27,2450
28,2329
29,2240
30,2078
31,1968
32,1876
33,1740
34,1745
35,1718
36,1648
37,1695
38,1658
39,1475
40,1508
41,1439
42,1437
43,1470
44,1330
45,1365
46,1278
47,1298
48,1222
49,1244
50,1205
51,1168
52,1104
53,1111
54,1083
55,1096
56,1082
57,1062
58,1019
59,990
60,978
61,980
62,920
63,897
64,892
65,876
66,827
67,870
68,835
69,827
70,807
71,759
72,770
73,744
74,818
75,670
76,732
77,741
78,721
79,629
80,709
81,694
82,656
83,629
84,662
85,685
86,623
87,662
88,627
89,610
90,609
91,597
92,613
93,583
94,543
95,604
96,531
97,558
98,525
99,525
100,517
101,513
102,505
103,489
104,506
105,510
106,476
107,489
108,468
109,487
110,464
111,426
112,444
113,447
114,445
115,427
116,396
117,408
118,421
119,398
120,362
121,366
122,388
123,354
124,339
125,337
126,363
127,348
128,373
129,331
130,329
131,264
132,298
133,286
134,263
135,283
136,299
137,288
138,265
139,262
140,267
141,294
142,249
143,223
144,244
145,220
146,223
147,254
148,214
149,222
150,217
151,225
152,212
153,199
154,210
155,184
156,166
157,189
158,173
159,158
160,177
161,150
162,177
163,157
164,152
165,138
166,145
167,135
168,159
169,135
170,137
171,135
172,136
173,138
174,122
175,127
176,138
177,101
178,114
179,97
180,74
181,81
182,100
183,88
184,84
185,86
186,80
187,80
188,67
189,61
190,85
191,67
192,65
193,56
194,57
195,71
196,56
197,49
198,53
199,57
200,48
201,54
202,51
203,47
204,51
205,38
206,44
207,43
208,34
209,27
210,33
211,34
212,24
213,28
214,32
215,29
216,28
217,27
218,24
219,24
220,26
221,14
222,17
223,15
224,14
225,12
226,17
227,17
228,17
229,24
230,13
231,14
232,16
233,13
234,8
235,14
236,10
237,5
238,11
239,6
240,6
241,4
242,7
243,6
244,5
245,3
246,8
247,5
248,6
249,7
250,5
251,2
252,7
253,6
254,5
255,3
256,3
257,4
258,5
259,3
260,3
261,3
262,2
263,5
264,3
265,3
266,3
267,1
268,2
269,1
270,3
271,3
272,4
273,3
275,4
276,2
277,2
279,2
281,1
282,1
283,1
284,1
285,1
286,1
288,1
294,1
295,1
296,1
298,1
299,1
306,1
311,1
324,1
349,1
