nch,count
0,830
1,8502
2,10855
3,12323
4,12310
5,11463
6,9992
7,8668
8,7410
9,6579
10,6049
11,5495
12,4880
13,4671
14,4270
15,4012
16,3611
17,3508
18,3158
19,3015
20,2790
21,2696
22,2423
23,2252
24,2156
25,2058
26,1915
27,1797
28,1597
29,1582
30,1441
31,1312
32,1192
33,1190
34,1119
35,1038
36,892
37,828
38,842
39,708
40,658
41,642
42,587
43,497
44,484
45,451
46,403
47,355
48,351
49,263
50,241
51,240
52,199
53,194
54,172
55,127
56,129
57,108
58,93
59,94
60,75
61,54
62,51
63,54
64,47
65,34
66,30
67,28
68,24
69,19
70,16
71,20
72,8
73,13
74,7
75,10
76,14
77,3
78,6
79,5
80,7
81,6
82,6
83,4
85,1
86,1
89,1
