ordinal,category,category_name,total
40,5,kExcludedExcited,702.0
41,0,kCentralGround,208.0
42,5,kExcludedExcited,3536.0
43,0,kCentralGround,1560.0
44,5,kExcludedExcited,3744.0
45,0,kCentralGround,1872.0
47,0,kCentralGround,28210.0
48,5,kExcludedExcited,21502.0
49,0,kCentralGround,11232.0
50,5,kExcludedExcited,20358.0
51,0,kCentralGround,9932.0
53,0,kCentralGround,27378.0
54,0,kCentralGround,157092.0
55,5,kExcludedExcited,21424.0
56,0,kCentralGround,9958.0
64,5,kExcludedExcited,4248.0
65,0,kCentralGround,2136.0
66,5,kExcludedExcited,28008.0
67,0,kCentralGround,13608.0
68,5,kExcludedExcited,28992.0
69,0,kCentralGround,14808.0
70,0,kCentralGround,237240.0
71,5,kExcludedExcited,167952.0
72,0,kCentralGround,85536.0
73,5,kExcludedExcited,172176.0
74,0,kCentralGround,83568.0
75,0,kCentralGround,234480.0
77,0,kCentralGround,1298424.0
78,5,kExcludedExcited,168888.0
79,0,kCentralGround,84264.0
81,4,kExcludedVector,3688.0
82,0,kCentralGround,2032.0
84,4,kExcludedVector,464620.0
85,0,kCentralGround,209300.0
87,4,kExcludedVector,2048904.0
88,0,kCentralGround,935766.0
90,4,kExcludedVector,2055534.0
91,0,kCentralGround,936156.0
93,4,kExcludedVector,2550456.0
94,0,kCentralGround,2934768.0
96,4,kExcludedVector,11550648.0
97,0,kCentralGround,13298376.0
99,4,kExcludedVector,11588016.0
100,0,kCentralGround,13310136.0
101,0,kCentralGround,13331304.0
102,4,kExcludedVector,11621688.0
104,0,kCentralGround,13315752.0
105,4,kExcludedVector,11602248.0
107,0,kCentralGround,2941968.0
108,4,kExcludedVector,2549160.0
110,0,kCentralGround,938548.0
111,4,kExcludedVector,2048020.0
113,0,kCentralGround,932022.0
114,4,kExcludedVector,2046226.0
116,0,kCentralGround,209976.0
117,4,kExcludedVector,466362.0
119,0,kCentralGround,2048.0
120,4,kExcludedVector,4610.0
122,0,kCentralGround,92760.0
123,5,kExcludedExcited,174552.0
124,0,kCentralGround,1313280.0
126,0,kCentralGround,233040.0
127,0,kCentralGround,93048.0
128,5,kExcludedExcited,172632.0
129,0,kCentralGround,91704.0
130,5,kExcludedExcited,176712.0
131,0,kCentralGround,237936.0
132,0,kCentralGround,15768.0
133,5,kExcludedExcited,30840.0
134,0,kCentralGround,15792.0
135,5,kExcludedExcited,32208.0
136,0,kCentralGround,2424.0
137,5,kExcludedExcited,5040.0
143,2,kMultiplyHeavy,48.0
145,0,kCentralGround,16640.0
146,5,kExcludedExcited,23738.0
147,0,kCentralGround,158262.0
148,0,kCentralGround,29562.0
150,0,kCentralGround,16510.0
151,5,kExcludedExcited,24180.0
152,0,kCentralGround,16484.0
153,5,kExcludedExcited,23556.0
154,0,kCentralGround,29822.0
156,0,kCentralGround,3016.0
157,5,kExcludedExcited,4212.0
158,0,kCentralGround,2808.0
159,5,kExcludedExcited,4524.0
160,0,kCentralGround,702.0
161,5,kExcludedExcited,650.0
162,5,kExcludedExcited,26.0
164,5,kExcludedExcited,0.0
