ordinal,category,category_name,total
27,2,kMultiplyHeavy,10.0
28,2,kMultiplyHeavy,10.0
29,2,kMultiplyHeavy,6.0
30,2,kMultiplyHeavy,12.0
33,5,kExcludedExcited,14.0
34,5,kExcludedExcited,8.0
35,5,kExcludedExcited,58.0
36,5,kExcludedExcited,46.0
37,5,kExcludedExcited,57.0
38,5,kExcludedExcited,69.0
39,5,kExcludedExcited,12.0
40,5,kExcludedExcited,566.0
41,0,kCentralGround,582.0
42,5,kExcludedExcited,2227.0
43,0,kCentralGround,2094.0
44,5,kExcludedExcited,2164.0
45,0,kCentralGround,2154.0
46,5,kExcludedExcited,77.0
47,0,kCentralGround,2090.0
48,5,kExcludedExcited,6551.0
49,0,kCentralGround,6761.0
50,5,kExcludedExcited,7867.0
51,0,kCentralGround,7856.0
52,5,kExcludedExcited,56.0
53,0,kCentralGround,2025.0
54,0,kCentralGround,8433.0
55,5,kExcludedExcited,6575.0
56,0,kCentralGround,6678.0
57,2,kMultiplyHeavy,0.0
58,2,kMultiplyHeavy,84.0
59,2,kMultiplyHeavy,60.0
60,2,kMultiplyHeavy,356.0
61,2,kMultiplyHeavy,304.0
62,2,kMultiplyHeavy,354.0
63,2,kMultiplyHeavy,278.0
64,5,kExcludedExcited,2726.0
65,0,kCentralGround,2963.0
66,5,kExcludedExcited,9230.0
67,0,kCentralGround,10086.0
68,5,kExcludedExcited,9403.0
69,0,kCentralGround,10102.0
70,0,kCentralGround,12112.0
71,5,kExcludedExcited,28057.0
72,0,kCentralGround,31727.0
73,5,kExcludedExcited,31221.0
74,0,kCentralGround,35027.0
75,0,kCentralGround,12198.0
77,0,kCentralGround,53168.0
78,5,kExcludedExcited,27684.0
79,0,kCentralGround,31671.0
81,4,kExcludedVector,122.0
82,0,kCentralGround,36.0
84,4,kExcludedVector,10519.0
85,0,kCentralGround,4696.0
87,4,kExcludedVector,44755.0
88,0,kCentralGround,20643.0
90,4,kExcludedVector,45268.0
91,0,kCentralGround,20638.0
93,4,kExcludedVector,86831.0
94,0,kCentralGround,102412.0
96,4,kExcludedVector,373355.0
97,0,kCentralGround,436496.0
99,4,kExcludedVector,370965.0
100,0,kCentralGround,438448.0
101,0,kCentralGround,437823.0
102,4,kExcludedVector,373236.0
104,0,kCentralGround,439397.0
105,4,kExcludedVector,373619.0
107,0,kCentralGround,103108.0
108,4,kExcludedVector,87104.0
110,0,kCentralGround,20455.0
111,4,kExcludedVector,44788.0
113,0,kCentralGround,20607.0
114,4,kExcludedVector,44714.0
116,0,kCentralGround,4734.0
117,4,kExcludedVector,10375.0
119,0,kCentralGround,48.0
120,4,kExcludedVector,87.0
122,0,kCentralGround,32689.0
123,5,kExcludedExcited,27805.0
124,0,kCentralGround,52279.0
126,0,kCentralGround,12116.0
127,0,kCentralGround,35858.0
128,5,kExcludedExcited,30735.0
129,0,kCentralGround,32574.0
130,5,kExcludedExcited,27968.0
131,0,kCentralGround,12232.0
132,0,kCentralGround,10537.0
133,5,kExcludedExcited,9376.0
134,0,kCentralGround,10470.0
135,5,kExcludedExcited,9334.0
136,0,kCentralGround,3284.0
137,5,kExcludedExcited,3022.0
138,2,kMultiplyHeavy,302.0
139,2,kMultiplyHeavy,276.0
140,2,kMultiplyHeavy,306.0
141,2,kMultiplyHeavy,304.0
142,2,kMultiplyHeavy,52.0
143,2,kMultiplyHeavy,76.0
144,2,kMultiplyHeavy,3.0
145,0,kCentralGround,6923.0
146,5,kExcludedExcited,6546.0
147,0,kCentralGround,8149.0
148,0,kCentralGround,2123.0
149,5,kExcludedExcited,62.0
150,0,kCentralGround,7797.0
151,5,kExcludedExcited,7860.0
152,0,kCentralGround,6894.0
153,5,kExcludedExcited,6612.0
154,0,kCentralGround,2026.0
155,5,kExcludedExcited,56.0
156,0,kCentralGround,2191.0
157,5,kExcludedExcited,2170.0
158,0,kCentralGround,2112.0
159,5,kExcludedExcited,2325.0
160,0,kCentralGround,648.0
161,5,kExcludedExcited,654.0
162,5,kExcludedExcited,12.0
163,5,kExcludedExcited,67.0
164,5,kExcludedExcited,59.0
165,5,kExcludedExcited,58.0
166,5,kExcludedExcited,66.0
167,5,kExcludedExcited,12.0
168,5,kExcludedExcited,8.0
170,2,kMultiplyHeavy,1.0
171,2,kMultiplyHeavy,10.0
172,2,kMultiplyHeavy,2.0
173,2,kMultiplyHeavy,14.0
174,2,kMultiplyHeavy,4.0
175,2,kMultiplyHeavy,2.0
