observable,total,share_pct
D0 (104),1186090.0,25.388298038571016
Dbar0 (97),1186039.0,25.387206381782775
D+ (101),439109.0,9.399143541737036
D- (100),437869.0,9.372601298258187
Lambda_c+ (124),239042.0,5.116702391670188
Lambda_cbar- (77),238253.0,5.099813819005017
D_s+ (107),191113.0,4.090780466107481
D_s- (94),188897.0,4.043346908406571
B+ (113),65779.0,1.408001801447751
B- (88),65655.0,1.405347577099866
Bbar0 (91),65362.0,1.3990759018262349
B0 (110),65177.0,1.395115970339471
Lambda_b0 (147),50423.0,1.0793060830112946
Lambda_bbar0 (54),50360.0,1.0779575658022886
Xi_c+ (131),32523.0,0.6961559553730705
Xi_c0 (126),32506.0,0.6957920697769895
Xi_cbar- (70),31506.0,0.6743870347134016
Xi_cbar0 (75),31439.0,0.6729528973641412
B_s0 (116),15401.0,0.3296589450143178
B_sbar0 (85),15315.0,0.32781811199884925
Xi_b- (148),6654.0,0.14242910331311415
Xi_b0 (154),6535.0,0.1398819041405472
Xi_bbar+ (53),6531.0,0.13979628400029281
Xi_bbar0 (47),6397.0,0.13692800930177204
Omega_c0 (136),6258.0,0.1339527094279333
Omega_cbar0 (65),5887.0,0.1260114414193422
UNMAPPED/kMultiplyHeavy,2566.0,0.054925319973166645
Omega_b- (160),1205.0,0.025793067251623465
Omega_bbar+ (41),1109.0,0.023738183885519022
UNMAPPED/kExcludedExcited,798.0,0.017081217980743173
