observable,total,share_pct
D0 (104),11857600.0,25.40286417636361
Dbar0 (97),11836615.0,25.357907430922626
D+ (101),4382479.0,9.388705875789858
D- (100),4377197.0,9.377390101216626
Lambda_c+ (124),2390971.0,5.122243250120115
Lambda_cbar- (77),2381405.0,5.101749743954357
D_s+ (107),1906897.0,4.085198142062073
D_s- (94),1891836.0,4.05293254553662
B+ (113),655731.0,1.4047906430669854
Bbar0 (91),654426.0,1.401994905502035
B- (88),654422.0,1.4019863361914913
B0 (110),652450.0,1.397761666093344
Lambda_b0 (147),506598.0,1.085298895730793
Lambda_bbar0 (54),505126.0,1.0821453894506345
Xi_c+ (131),323364.0,0.6927516336801411
Xi_c0 (126),322038.0,0.6899109072348354
Xi_cbar- (70),316040.0,0.6770612260742439
Xi_cbar0 (75),316009.0,0.6769948139175287
B_sbar0 (85),154046.0,0.33001700301174847
B_s0 (116),153510.0,0.32886871539886464
Xi_b- (148),65560.0,0.14045099981466724
Xi_b0 (154),65419.0,0.14014893161799444
Xi_bbar0 (47),64191.0,0.1375181532810144
Xi_bbar+ (53),63782.0,0.13664194127789972
Omega_c0 (136),62758.0,0.13444819777865905
Omega_cbar0 (65),58515.0,0.12535830161920763
UNMAPPED/kMultiplyHeavy,27201.0,0.05827345402621665
Omega_b- (160),12479.0,0.026734106569359862
Omega_bbar+ (41),11397.0,0.024416108067232496
UNMAPPED/kExcludedExcited,8139.0,0.01743640462921868
