ordinal,category,category_name,total
25,2,kMultiplyHeavy,6.0
26,2,kMultiplyHeavy,20.0
27,2,kMultiplyHeavy,70.0
28,2,kMultiplyHeavy,106.0
29,2,kMultiplyHeavy,80.0
30,2,kMultiplyHeavy,118.0
31,2,kMultiplyHeavy,3.0
32,2,kMultiplyHeavy,1.0
33,5,kExcludedExcited,148.0
34,5,kExcludedExcited,123.0
35,5,kExcludedExcited,684.0
36,5,kExcludedExcited,603.0
37,5,kExcludedExcited,640.0
38,5,kExcludedExcited,617.0
39,5,kExcludedExcited,95.0
40,5,kExcludedExcited,5785.0
41,0,kCentralGround,5612.0
42,5,kExcludedExcited,22063.0
43,0,kCentralGround,21361.0
44,5,kExcludedExcited,22024.0
45,0,kCentralGround,21157.0
46,5,kExcludedExcited,551.0
47,0,kCentralGround,20767.0
48,5,kExcludedExcited,65547.0
49,0,kCentralGround,66855.0
50,5,kExcludedExcited,77802.0
51,0,kCentralGround,78912.0
52,5,kExcludedExcited,618.0
53,0,kCentralGround,20601.0
54,0,kCentralGround,84293.0
55,5,kExcludedExcited,65001.0
56,0,kCentralGround,66716.0
57,2,kMultiplyHeavy,6.0
58,2,kMultiplyHeavy,740.0
59,2,kMultiplyHeavy,560.0
60,2,kMultiplyHeavy,3224.0
61,2,kMultiplyHeavy,3026.0
62,2,kMultiplyHeavy,3286.0
63,2,kMultiplyHeavy,2940.0
64,5,kExcludedExcited,28002.0
65,0,kCentralGround,30513.0
66,5,kExcludedExcited,93018.0
67,0,kCentralGround,101018.0
68,5,kExcludedExcited,93029.0
69,0,kCentralGround,101249.0
70,0,kCentralGround,122004.0
71,5,kExcludedExcited,278777.0
72,0,kCentralGround,317862.0
73,5,kExcludedExcited,313149.0
74,0,kCentralGround,347781.0
75,0,kCentralGround,121731.0
77,0,kCentralGround,528126.0
78,5,kExcludedExcited,278923.0
79,0,kCentralGround,316787.0
81,4,kExcludedVector,899.0
82,0,kCentralGround,400.0
84,4,kExcludedVector,104529.0
85,0,kCentralGround,48218.0
87,4,kExcludedVector,448140.0
88,0,kCentralGround,206282.0
90,4,kExcludedVector,447641.0
91,0,kCentralGround,206785.0
93,4,kExcludedVector,866735.0
94,0,kCentralGround,1025101.0
96,4,kExcludedVector,3733195.0
97,0,kCentralGround,4377435.0
99,4,kExcludedVector,3725985.0
100,0,kCentralGround,4377197.0
101,0,kCentralGround,4382479.0
102,4,kExcludedVector,3733906.0
104,0,kCentralGround,4387094.0
105,4,kExcludedVector,3736600.0
107,0,kCentralGround,1035854.0
108,4,kExcludedVector,871043.0
110,0,kCentralGround,205442.0
111,4,kExcludedVector,447008.0
113,0,kCentralGround,206404.0
114,4,kExcludedVector,449327.0
116,0,kCentralGround,47962.0
117,4,kExcludedVector,104199.0
119,0,kCentralGround,415.0
120,4,kExcludedVector,934.0
122,0,kCentralGround,324635.0
123,5,kExcludedExcited,277397.0
124,0,kCentralGround,521083.0
126,0,kCentralGround,122346.0
127,0,kCentralGround,353564.0
128,5,kExcludedExcited,308901.0
129,0,kCentralGround,325458.0
130,5,kExcludedExcited,279933.0
131,0,kCentralGround,122666.0
132,0,kCentralGround,105034.0
133,5,kExcludedExcited,94658.0
134,0,kCentralGround,105903.0
135,5,kExcludedExcited,94795.0
136,0,kCentralGround,33120.0
137,5,kExcludedExcited,29638.0
138,2,kMultiplyHeavy,2826.0
139,2,kMultiplyHeavy,2928.0
140,2,kMultiplyHeavy,2840.0
141,2,kMultiplyHeavy,2952.0
142,2,kMultiplyHeavy,466.0
143,2,kMultiplyHeavy,642.0
144,2,kMultiplyHeavy,12.0
145,0,kCentralGround,68183.0
146,5,kExcludedExcited,64988.0
147,0,kCentralGround,83011.0
148,0,kCentralGround,20865.0
149,5,kExcludedExcited,588.0
150,0,kCentralGround,79345.0
151,5,kExcludedExcited,77372.0
152,0,kCentralGround,68419.0
153,5,kExcludedExcited,65280.0
154,0,kCentralGround,20916.0
155,5,kExcludedExcited,577.0
156,0,kCentralGround,22254.0
157,5,kExcludedExcited,22441.0
158,0,kCentralGround,22049.0
159,5,kExcludedExcited,22454.0
160,0,kCentralGround,6182.0
161,5,kExcludedExcited,6297.0
162,5,kExcludedExcited,133.0
163,5,kExcludedExcited,602.0
164,5,kExcludedExcited,687.0
165,5,kExcludedExcited,598.0
166,5,kExcludedExcited,657.0
167,5,kExcludedExcited,84.0
168,5,kExcludedExcited,134.0
170,2,kMultiplyHeavy,3.0
171,2,kMultiplyHeavy,78.0
172,2,kMultiplyHeavy,68.0
173,2,kMultiplyHeavy,114.0
174,2,kMultiplyHeavy,66.0
175,2,kMultiplyHeavy,14.0
176,2,kMultiplyHeavy,6.0
