ordinal,category,category_name,total
27,2,kMultiplyHeavy,2.0
28,2,kMultiplyHeavy,6.0
30,2,kMultiplyHeavy,12.0
32,2,kMultiplyHeavy,1.0
33,5,kExcludedExcited,2.0
34,5,kExcludedExcited,17.0
35,5,kExcludedExcited,15.0
36,5,kExcludedExcited,115.0
37,5,kExcludedExcited,16.0
38,5,kExcludedExcited,93.0
39,5,kExcludedExcited,11.0
40,5,kExcludedExcited,62.0
41,0,kCentralGround,645.0
42,5,kExcludedExcited,326.0
43,0,kCentralGround,3210.0
44,5,kExcludedExcited,340.0
45,0,kCentralGround,3272.0
46,5,kExcludedExcited,70.0
47,0,kCentralGround,1900.0
48,5,kExcludedExcited,1810.0
49,0,kCentralGround,12570.0
50,5,kExcludedExcited,1864.0
51,0,kCentralGround,14091.0
52,5,kExcludedExcited,66.0
53,0,kCentralGround,1847.0
54,0,kCentralGround,9348.0
55,5,kExcludedExcited,1835.0
56,0,kCentralGround,12849.0
57,2,kMultiplyHeavy,3.0
58,2,kMultiplyHeavy,24.0
59,2,kMultiplyHeavy,44.0
60,2,kMultiplyHeavy,172.0
61,2,kMultiplyHeavy,296.0
62,2,kMultiplyHeavy,144.0
63,2,kMultiplyHeavy,342.0
64,5,kExcludedExcited,333.0
65,0,kCentralGround,2806.0
66,5,kExcludedExcited,1804.0
67,0,kCentralGround,13180.0
68,5,kExcludedExcited,1735.0
69,0,kCentralGround,13085.0
70,0,kCentralGround,11539.0
71,5,kExcludedExcited,10361.0
72,0,kCentralGround,54087.0
73,5,kExcludedExcited,10039.0
74,0,kCentralGround,57444.0
75,0,kCentralGround,11336.0
77,0,kCentralGround,61036.0
78,5,kExcludedExcited,10246.0
79,0,kCentralGround,54589.0
81,4,kExcludedVector,116.0
82,0,kCentralGround,56.0
84,4,kExcludedVector,9147.0
85,0,kCentralGround,4269.0
87,4,kExcludedVector,47349.0
88,0,kCentralGround,21868.0
90,4,kExcludedVector,47279.0
91,0,kCentralGround,21658.0
93,4,kExcludedVector,74654.0
94,0,kCentralGround,87683.0
96,4,kExcludedVector,373169.0
97,0,kCentralGround,435752.0
99,4,kExcludedVector,373139.0
100,0,kCentralGround,434711.0
101,0,kCentralGround,435835.0
102,4,kExcludedVector,374602.0
104,0,kCentralGround,437720.0
105,4,kExcludedVector,373902.0
107,0,kCentralGround,86949.0
108,4,kExcludedVector,74383.0
110,0,kCentralGround,21807.0
111,4,kExcludedVector,47099.0
113,0,kCentralGround,21799.0
114,4,kExcludedVector,46881.0
116,0,kCentralGround,4285.0
117,4,kExcludedVector,9435.0
119,0,kCentralGround,45.0
120,4,kExcludedVector,103.0
122,0,kCentralGround,55266.0
123,5,kExcludedExcited,10423.0
124,0,kCentralGround,60325.0
126,0,kCentralGround,11076.0
127,0,kCentralGround,59101.0
128,5,kExcludedExcited,10074.0
129,0,kCentralGround,56126.0
130,5,kExcludedExcited,10364.0
131,0,kCentralGround,11277.0
132,0,kCentralGround,13327.0
133,5,kExcludedExcited,1742.0
134,0,kCentralGround,13576.0
135,5,kExcludedExcited,1773.0
136,0,kCentralGround,2840.0
137,5,kExcludedExcited,375.0
138,2,kMultiplyHeavy,284.0
139,2,kMultiplyHeavy,176.0
140,2,kMultiplyHeavy,292.0
141,2,kMultiplyHeavy,110.0
142,2,kMultiplyHeavy,54.0
143,2,kMultiplyHeavy,22.0
145,0,kCentralGround,12757.0
146,5,kExcludedExcited,1821.0
147,0,kCentralGround,9543.0
148,0,kCentralGround,1934.0
149,5,kExcludedExcited,59.0
150,0,kCentralGround,14108.0
151,5,kExcludedExcited,1875.0
152,0,kCentralGround,12772.0
153,5,kExcludedExcited,1815.0
154,0,kCentralGround,1920.0
155,5,kExcludedExcited,72.0
156,0,kCentralGround,3315.0
157,5,kExcludedExcited,341.0
158,0,kCentralGround,3451.0
159,5,kExcludedExcited,346.0
160,0,kCentralGround,666.0
161,5,kExcludedExcited,80.0
162,5,kExcludedExcited,8.0
163,5,kExcludedExcited,75.0
164,5,kExcludedExcited,22.0
165,5,kExcludedExcited,77.0
166,5,kExcludedExcited,18.0
167,5,kExcludedExcited,16.0
168,5,kExcludedExcited,5.0
169,2,kMultiplyHeavy,1.0
171,2,kMultiplyHeavy,4.0
172,2,kMultiplyHeavy,2.0
173,2,kMultiplyHeavy,8.0
174,2,kMultiplyHeavy,2.0
