observable,total,share_pct
D0 (104),1182566.0,25.555860263816843
Dbar0 (97),1180967.0,25.521305050355743
D+ (101),436549.0,9.434048706210884
D- (100),434341.0,9.386332689123881
Lambda_c+ (124),261344.0,5.647778428254279
Lambda_cbar- (77),257761.0,5.570347953062826
D_s- (94),162512.0,3.5119680112512985
D_s+ (107),161190.0,3.4833989104410557
B- (88),68902.0,1.4890077035002767
B+ (113),68785.0,1.4864792732470253
Bbar0 (91),68705.0,1.4847504320482208
B0 (110),68627.0,1.4830648118793865
Lambda_b0 (147),55037.0,1.1893779132324858
Lambda_bbar0 (54),54337.0,1.174250552742947
Xi_c0 (126),26662.0,0.576179550531543
Xi_cbar- (70),26594.0,0.5747100355125593
Xi_c+ (131),26297.0,0.5682917125619978
Xi_cbar0 (75),26151.0,0.5651365773741798
B_sbar0 (85),13879.0,0.2999323374775818
B_s0 (116),13742.0,0.2969716969246292
Xi_bbar0 (47),5544.0,0.1198086950771463
Xi_b0 (154),5536.0,0.11963581095726586
Xi_b- (148),5482.0,0.11846884314807288
Xi_bbar+ (53),5435.0,0.11745314894377527
Omega_c0 (136),3104.0,0.0670790385136115
Omega_cbar0 (65),3046.0,0.06582562864447829
UNMAPPED/kMultiplyHeavy,2166.0,0.04680837545762967
UNMAPPED/kExcludedExcited,711.0,0.01536507615437428
Omega_bbar+ (41),709.0,0.015321855124404172
Omega_b- (160),696.0,0.015040918429598453
