ordinal,category,category_name,total
25,2,kMultiplyHeavy,10.0
26,2,kMultiplyHeavy,6.0
27,2,kMultiplyHeavy,26.0
28,2,kMultiplyHeavy,62.0
29,2,kMultiplyHeavy,32.0
30,2,kMultiplyHeavy,76.0
32,2,kMultiplyHeavy,2.0
33,5,kExcludedExcited,18.0
34,5,kExcludedExcited,154.0
35,5,kExcludedExcited,138.0
36,5,kExcludedExcited,878.0
37,5,kExcludedExcited,165.0
38,5,kExcludedExcited,877.0
39,5,kExcludedExcited,110.0
40,5,kExcludedExcited,661.0
41,0,kCentralGround,6414.0
42,5,kExcludedExcited,3367.0
43,0,kCentralGround,32290.0
44,5,kExcludedExcited,3399.0
45,0,kCentralGround,32234.0
46,5,kExcludedExcited,639.0
47,0,kCentralGround,18773.0
48,5,kExcludedExcited,18370.0
49,0,kCentralGround,125842.0
50,5,kExcludedExcited,19079.0
51,0,kCentralGround,139944.0
52,5,kExcludedExcited,642.0
53,0,kCentralGround,18943.0
54,0,kCentralGround,94552.0
55,5,kExcludedExcited,18290.0
56,0,kCentralGround,126758.0
57,2,kMultiplyHeavy,15.0
58,2,kMultiplyHeavy,244.0
59,2,kMultiplyHeavy,618.0
60,2,kMultiplyHeavy,1566.0
61,2,kMultiplyHeavy,3064.0
62,2,kMultiplyHeavy,1628.0
63,2,kMultiplyHeavy,3142.0
64,5,kExcludedExcited,3398.0
65,0,kCentralGround,27311.0
66,5,kExcludedExcited,17175.0
67,0,kCentralGround,131905.0
68,5,kExcludedExcited,17265.0
69,0,kCentralGround,132623.0
70,0,kCentralGround,114227.0
71,5,kExcludedExcited,103484.0
72,0,kCentralGround,541833.0
73,5,kExcludedExcited,100105.0
74,0,kCentralGround,576380.0
75,0,kCentralGround,113921.0
77,0,kCentralGround,606491.0
78,5,kExcludedExcited,104195.0
79,0,kCentralGround,543878.0
81,4,kExcludedVector,1044.0
82,0,kCentralGround,490.0
84,4,kExcludedVector,93481.0
85,0,kCentralGround,43026.0
87,4,kExcludedVector,471650.0
88,0,kCentralGround,216918.0
90,4,kExcludedVector,471441.0
91,0,kCentralGround,217167.0
93,4,kExcludedVector,745643.0
94,0,kCentralGround,873646.0
96,4,kExcludedVector,3729803.0
97,0,kCentralGround,4358151.0
99,4,kExcludedVector,3725295.0
100,0,kCentralGround,4352406.0
101,0,kCentralGround,4364535.0
102,4,kExcludedVector,3740659.0
104,0,kCentralGround,4369687.0
105,4,kExcludedVector,3736472.0
107,0,kCentralGround,872047.0
108,4,kExcludedVector,743919.0
110,0,kCentralGround,216416.0
111,4,kExcludedVector,471334.0
113,0,kCentralGround,217500.0
114,4,kExcludedVector,471576.0
116,0,kCentralGround,43144.0
117,4,kExcludedVector,93665.0
119,0,kCentralGround,477.0
120,4,kExcludedVector,1095.0
122,0,kCentralGround,555642.0
123,5,kExcludedExcited,103723.0
124,0,kCentralGround,602812.0
126,0,kCentralGround,113389.0
127,0,kCentralGround,589473.0
128,5,kExcludedExcited,100773.0
129,0,kCentralGround,560496.0
130,5,kExcludedExcited,103792.0
131,0,kCentralGround,113436.0
132,0,kCentralGround,134156.0
133,5,kExcludedExcited,17277.0
134,0,kCentralGround,134828.0
135,5,kExcludedExcited,17222.0
136,0,kCentralGround,28344.0
137,5,kExcludedExcited,3361.0
138,2,kMultiplyHeavy,3158.0
139,2,kMultiplyHeavy,1590.0
140,2,kMultiplyHeavy,3080.0
141,2,kMultiplyHeavy,1438.0
142,2,kMultiplyHeavy,618.0
143,2,kMultiplyHeavy,264.0
144,2,kMultiplyHeavy,0.0
145,0,kCentralGround,128496.0
146,5,kExcludedExcited,18310.0
147,0,kCentralGround,94213.0
148,0,kCentralGround,18903.0
149,5,kExcludedExcited,633.0
150,0,kCentralGround,142290.0
151,5,kExcludedExcited,19210.0
152,0,kCentralGround,130011.0
153,5,kExcludedExcited,18304.0
154,0,kCentralGround,18900.0
155,5,kExcludedExcited,622.0
156,0,kCentralGround,33140.0
157,5,kExcludedExcited,3380.0
158,0,kCentralGround,32901.0
159,5,kExcludedExcited,3425.0
160,0,kCentralGround,6464.0
161,5,kExcludedExcited,641.0
162,5,kExcludedExcited,110.0
163,5,kExcludedExcited,855.0
164,5,kExcludedExcited,134.0
165,5,kExcludedExcited,825.0
166,5,kExcludedExcited,125.0
167,5,kExcludedExcited,167.0
168,5,kExcludedExcited,15.0
169,2,kMultiplyHeavy,1.0
170,2,kMultiplyHeavy,1.0
171,2,kMultiplyHeavy,84.0
172,2,kMultiplyHeavy,60.0
173,2,kMultiplyHeavy,78.0
174,2,kMultiplyHeavy,56.0
175,2,kMultiplyHeavy,14.0
176,2,kMultiplyHeavy,2.0
