ordinal,category,category_name,total
40,5,kExcludedExcited,23.0
41,0,kCentralGround,9.0
42,5,kExcludedExcited,137.0
43,0,kCentralGround,72.0
44,5,kExcludedExcited,138.0
45,0,kCentralGround,72.0
47,0,kCentralGround,1038.0
48,5,kExcludedExcited,772.0
49,0,kCentralGround,374.0
50,5,kExcludedExcited,802.0
51,0,kCentralGround,377.0
53,0,kCentralGround,1123.0
54,0,kCentralGround,6035.0
55,5,kExcludedExcited,792.0
56,0,kCentralGround,401.0
64,5,kExcludedExcited,177.0
65,0,kCentralGround,87.0
66,5,kExcludedExcited,1128.0
67,0,kCentralGround,623.0
68,5,kExcludedExcited,1214.0
69,0,kCentralGround,637.0
70,0,kCentralGround,9854.0
71,5,kExcludedExcited,7005.0
72,0,kCentralGround,3602.0
73,5,kExcludedExcited,7079.0
74,0,kCentralGround,3435.0
75,0,kCentralGround,9959.0
77,0,kCentralGround,54014.0
78,5,kExcludedExcited,6988.0
79,0,kCentralGround,3593.0
81,4,kExcludedVector,174.0
82,0,kCentralGround,73.0
84,4,kExcludedVector,17743.0
85,0,kCentralGround,8088.0
87,4,kExcludedVector,78657.0
88,0,kCentralGround,35698.0
90,4,kExcludedVector,78555.0
91,0,kCentralGround,35946.0
93,4,kExcludedVector,106635.0
94,0,kCentralGround,122285.0
96,4,kExcludedVector,482341.0
97,0,kCentralGround,554258.0
99,4,kExcludedVector,481083.0
100,0,kCentralGround,554068.0
101,0,kCentralGround,554496.0
102,4,kExcludedVector,482536.0
104,0,kCentralGround,555274.0
105,4,kExcludedVector,483840.0
107,0,kCentralGround,122707.0
108,4,kExcludedVector,106589.0
110,0,kCentralGround,35792.0
111,4,kExcludedVector,78817.0
113,0,kCentralGround,35908.0
114,4,kExcludedVector,79136.0
116,0,kCentralGround,8146.0
117,4,kExcludedVector,17689.0
119,0,kCentralGround,77.0
120,4,kExcludedVector,176.0
122,0,kCentralGround,3995.0
123,5,kExcludedExcited,7301.0
124,0,kCentralGround,54849.0
126,0,kCentralGround,9671.0
127,0,kCentralGround,3926.0
128,5,kExcludedExcited,7189.0
129,0,kCentralGround,3863.0
130,5,kExcludedExcited,7356.0
131,0,kCentralGround,9933.0
132,0,kCentralGround,657.0
133,5,kExcludedExcited,1233.0
134,0,kCentralGround,645.0
135,5,kExcludedExcited,1258.0
136,0,kCentralGround,96.0
137,5,kExcludedExcited,190.0
145,0,kCentralGround,675.0
146,5,kExcludedExcited,979.0
147,0,kCentralGround,6008.0
148,0,kCentralGround,1137.0
150,0,kCentralGround,625.0
151,5,kExcludedExcited,919.0
152,0,kCentralGround,643.0
153,5,kExcludedExcited,897.0
154,0,kCentralGround,1174.0
156,0,kCentralGround,115.0
157,5,kExcludedExcited,170.0
158,0,kCentralGround,127.0
159,5,kExcludedExcited,182.0
160,0,kCentralGround,15.0
161,5,kExcludedExcited,30.0
