observable,total,share_pct
D0 (104),1521375.0,28.363906661936163
Dbar0 (97),1515562.0,28.255531416236824
D+ (101),554667.0,10.34098957617691
D- (100),553128.0,10.312297076068312
D_s- (94),229484.0,4.27840785894849
D_s+ (107),229251.0,4.274063900192607
B- (88),115471.0,2.1527951137362127
B0 (110),115116.0,2.14617663580343
B+ (113),115039.0,2.1447410786180097
Bbar0 (91),114711.0,2.1386259778801144
Lambda_c+ (124),88214.0,1.6446265136971732
Lambda_cbar- (77),86340.0,1.6096884076520046
B_s0 (116),26058.0,0.4858149238660636
B_sbar0 (85),25904.0,0.4829438094952227
Xi_c0 (126),11804.0,0.2200690521649787
Xi_c+ (131),11765.0,0.21934195177236313
Xi_cbar- (70),11662.0,0.2174216609918656
Xi_cbar0 (75),11437.0,0.2132268510344681
Lambda_b0 (147),10953.0,0.2042033487261108
Lambda_bbar0 (54),9824.0,0.18315472453988063
Xi_b0 (154),1430.0,0.026660347729237508
Xi_b- (148),1409.0,0.02626883213321374
Xi_bbar0 (47),1309.0,0.02440447215214818
Xi_bbar+ (53),1224.0,0.022819766168242456
Omega_c0 (136),310.0,0.005779515941303236
Omega_cbar0 (65),239.0,0.004455820354746689
Omega_b- (160),50.0,0.00093217999053278
Omega_bbar+ (41),31.0,0.0005779515941303237
UNMAPPED/kExcludedExcited,2.0,3.72871996213112e-05
UNMAPPED/kMultiplyHeavy,2.0,3.72871996213112e-05
