ordinal,category,category_name,total
40,5,kExcludedExcited,203.0
41,0,kCentralGround,108.0
42,5,kExcludedExcited,1320.0
43,0,kCentralGround,685.0
44,5,kExcludedExcited,1300.0
45,0,kCentralGround,674.0
47,0,kCentralGround,10817.0
48,5,kExcludedExcited,7785.0
49,0,kCentralGround,3914.0
50,5,kExcludedExcited,7888.0
51,0,kCentralGround,3945.0
53,0,kCentralGround,10724.0
54,0,kCentralGround,60027.0
55,5,kExcludedExcited,7949.0
56,0,kCentralGround,3929.0
64,5,kExcludedExcited,1837.0
65,0,kCentralGround,951.0
66,5,kExcludedExcited,11780.0
67,0,kCentralGround,5964.0
68,5,kExcludedExcited,11988.0
69,0,kCentralGround,6021.0
70,0,kCentralGround,98663.0
71,5,kExcludedExcited,70702.0
72,0,kCentralGround,35616.0
73,5,kExcludedExcited,70168.0
74,0,kCentralGround,35273.0
75,0,kCentralGround,97944.0
77,0,kCentralGround,543472.0
78,5,kExcludedExcited,70559.0
79,0,kCentralGround,35465.0
81,4,kExcludedVector,1647.0
82,0,kCentralGround,785.0
84,4,kExcludedVector,176709.0
85,0,kCentralGround,81157.0
87,4,kExcludedVector,790343.0
88,0,kCentralGround,359675.0
90,4,kExcludedVector,789030.0
91,0,kCentralGround,360091.0
93,4,kExcludedVector,1062875.0
94,0,kCentralGround,1227656.0
96,4,kExcludedVector,4817158.0
97,0,kCentralGround,5541094.0
99,4,kExcludedVector,4817975.0
100,0,kCentralGround,5539287.0
101,0,kCentralGround,5548552.0
102,4,kExcludedVector,4835897.0
104,0,kCentralGround,5551401.0
105,4,kExcludedVector,4834101.0
107,0,kCentralGround,1226760.0
108,4,kExcludedVector,1065688.0
110,0,kCentralGround,360608.0
111,4,kExcludedVector,788802.0
113,0,kCentralGround,359878.0
114,4,kExcludedVector,790672.0
116,0,kCentralGround,81146.0
117,4,kExcludedVector,177438.0
119,0,kCentralGround,767.0
120,4,kExcludedVector,1768.0
122,0,kCentralGround,38875.0
123,5,kExcludedExcited,72991.0
124,0,kCentralGround,545463.0
126,0,kCentralGround,98273.0
127,0,kCentralGround,38709.0
128,5,kExcludedExcited,72587.0
129,0,kCentralGround,38181.0
130,5,kExcludedExcited,73327.0
131,0,kCentralGround,98859.0
132,0,kCentralGround,6656.0
133,5,kExcludedExcited,12613.0
134,0,kCentralGround,6672.0
135,5,kExcludedExcited,12621.0
136,0,kCentralGround,1047.0
137,5,kExcludedExcited,2031.0
139,2,kMultiplyHeavy,4.0
141,2,kMultiplyHeavy,2.0
143,2,kMultiplyHeavy,2.0
145,0,kCentralGround,6246.0
146,5,kExcludedExcited,9269.0
147,0,kCentralGround,60762.0
148,0,kCentralGround,11204.0
150,0,kCentralGround,6238.0
151,5,kExcludedExcited,9601.0
152,0,kCentralGround,6402.0
153,5,kExcludedExcited,9413.0
154,0,kCentralGround,11339.0
156,0,kCentralGround,1182.0
157,5,kExcludedExcited,1714.0
158,0,kCentralGround,1195.0
159,5,kExcludedExcited,1791.0
160,0,kCentralGround,215.0
161,5,kExcludedExcited,298.0
162,5,kExcludedExcited,1.0
163,5,kExcludedExcited,1.0
164,5,kExcludedExcited,0.0
165,5,kExcludedExcited,1.0
