ordinal,category,category_name,total
40,5,kExcludedExcited,520.0
41,0,kCentralGround,312.0
42,5,kExcludedExcited,3094.0
43,0,kCentralGround,1742.0
44,5,kExcludedExcited,3380.0
45,0,kCentralGround,1768.0
47,0,kCentralGround,28964.0
48,5,kExcludedExcited,19578.0
49,0,kCentralGround,9464.0
50,5,kExcludedExcited,20332.0
51,0,kCentralGround,10088.0
53,0,kCentralGround,27664.0
54,0,kCentralGround,157144.0
55,5,kExcludedExcited,19708.0
56,0,kCentralGround,10530.0
64,5,kExcludedExcited,4800.0
65,0,kCentralGround,2376.0
66,5,kExcludedExcited,28920.0
67,0,kCentralGround,14496.0
68,5,kExcludedExcited,29472.0
69,0,kCentralGround,13272.0
70,0,kCentralGround,240120.0
71,5,kExcludedExcited,171768.0
72,0,kCentralGround,84936.0
73,5,kExcludedExcited,168912.0
74,0,kCentralGround,85896.0
75,0,kCentralGround,235944.0
77,0,kCentralGround,1299552.0
78,5,kExcludedExcited,168672.0
79,0,kCentralGround,82512.0
81,4,kExcludedVector,4482.0
82,0,kCentralGround,1974.0
84,4,kExcludedVector,459212.0
85,0,kCentralGround,207766.0
87,4,kExcludedVector,2052492.0
88,0,kCentralGround,938808.0
90,4,kExcludedVector,2056704.0
91,0,kCentralGround,934518.0
93,4,kExcludedVector,2552760.0
94,0,kCentralGround,2948928.0
96,4,kExcludedVector,11571744.0
97,0,kCentralGround,13336488.0
99,4,kExcludedVector,11566488.0
100,0,kCentralGround,13289328.0
101,0,kCentralGround,13305048.0
102,4,kExcludedVector,11581968.0
104,0,kCentralGround,13335072.0
105,4,kExcludedVector,11606928.0
107,0,kCentralGround,2948328.0
108,4,kExcludedVector,2556768.0
110,0,kCentralGround,937560.0
111,4,kExcludedVector,2052180.0
113,0,kCentralGround,935168.0
114,4,kExcludedVector,2055768.0
116,0,kCentralGround,213122.0
117,4,kExcludedVector,459706.0
119,0,kCentralGround,1900.0
120,4,kExcludedVector,4356.0
122,0,kCentralGround,93432.0
123,5,kExcludedExcited,176352.0
124,0,kCentralGround,1310928.0
126,0,kCentralGround,234480.0
127,0,kCentralGround,90264.0
128,5,kExcludedExcited,178344.0
129,0,kCentralGround,88632.0
130,5,kExcludedExcited,176832.0
131,0,kCentralGround,239400.0
132,0,kCentralGround,16488.0
133,5,kExcludedExcited,29472.0
134,0,kCentralGround,14952.0
135,5,kExcludedExcited,30600.0
136,0,kCentralGround,2376.0
137,5,kExcludedExcited,4968.0
139,2,kMultiplyHeavy,48.0
145,0,kCentralGround,16952.0
146,5,kExcludedExcited,24050.0
147,0,kCentralGround,157456.0
148,0,kCentralGround,29016.0
150,0,kCentralGround,16250.0
151,5,kExcludedExcited,25610.0
152,0,kCentralGround,16302.0
153,5,kExcludedExcited,25324.0
154,0,kCentralGround,28314.0
156,0,kCentralGround,3302.0
157,5,kExcludedExcited,4602.0
158,0,kCentralGround,3302.0
159,5,kExcludedExcited,3796.0
160,0,kCentralGround,754.0
161,5,kExcludedExcited,754.0
