tune,flavour,trigger,os_associate,ss_associate,quantity,activity_id,percentile_low,percentile_high,nch_low,nch_high,estimator,n_os,n_ss,n_trigger,value,status
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_01,,,142269.0,0.0002600707111176714,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_02,,,143050.0,0.0002097168822090179,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_03,,,142514.0,0.0002947078883478116,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_04,,,143011.0,0.0002657138262091726,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_05,,,142495.0,0.00027369381381802863,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_06,,,142148.0,0.0002180825618369587,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_07,,,142363.0,0.0003020447728693551,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_08,,,142878.0,0.00016797547558056525,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_09,,,143062.0,0.0002726090785813144,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_10,,,142660.0,0.00023832889387354552,available_derived_no_component_counts
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,central,366,9,1426450,0.00025027165340530685,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,central,8,0,54582,0.0001465684657945843,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield_sem,integrated_0_100,0.0,100.0,0,269,central,,,,1.3179608648968206e-05,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_01,,,,0.002221021669968185,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_02,,,,0.0017999640007199864,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_03,,,,0.0025548999330859555,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_04,,,,0.0023134055765250206,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_05,,,,0.0023689485512968476,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_06,,,,0.001865671641791045,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_07,,,,0.002596304794106992,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_08,,,,0.0014287415168472443,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_09,,,,0.0023389708528247567,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,block_10,,,,0.0020577376989650794,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_to_reference,integrated_0_100,0.0,100.0,0,269,central,,,,0.0021528460383411618,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_ratio_sem,integrated_0_100,0.0,100.0,0,269,central,,,,0.00011596988324112121,available_derived
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_1_10,1.0,10.0,26,45,central,112,4,401483,0.0002690026725913675,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_10_20,10.0,20.0,18,25,central,103,2,320108,0.00031551851250203054,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_20_30,20.0,30.0,14,17,central,58,2,175058,0.0003198939779958642,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_30_40,30.0,40.0,11,13,central,28,0,129585,0.00021607439132615658,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_40_50,40.0,50.0,9,10,central,19,0,83140,0.00022853019004089487,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_50_60,50.0,60.0,7,8,central,10,0,79152,0.00012633919547200325,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_60_70,60.0,70.0,6,6,central,3,0,38309,7.831057975932548e-05,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_70_80,70.0,80.0,5,5,central,10,0,37197,0.0002688388848563056,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_80_90,80.0,90.0,3,4,central,10,0,66526,0.00015031716922706912,available_count_backed
MONASH,beauty,bplus,bcminus,bcplus,balancing_yield,percentile_90_100,90.0,100.0,0,2,central,5,1,41310,9.682885499878964e-05,available_count_backed
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_01,,,142269.0,0.11709508044619699,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_01,,,5448.0,0.11839207048458147,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_02,,,143050.0,0.11651170919258999,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_02,,,5546.0,0.12080778939776417,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_03,,,142514.0,0.11535007087023029,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_03,,,5323.0,0.12305091114033438,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_04,,,143011.0,0.11485829761347027,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_04,,,5496.0,0.12245269286754004,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_05,,,142495.0,0.11553387838169757,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_05,,,5449.0,0.12130666177280233,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_06,,,142148.0,0.11689225314460984,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_06,,,5430.0,0.11915285451197051,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_07,,,142363.0,0.11633640763400602,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_07,,,5352.0,0.12443946188340806,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,integrated_0_100,0.0,100.0,0,269,block_08,,,142878.0,0.11756883495009725,available_derived_no_component_counts
MONASH,beauty,bplus,bminus,bplus,balancing_yield,percentile_0_1,0.0,1.0,46,269,block_08,,,5559.0,0.1320381363554596,available_derived_no_component_counts
