tune,flavour,trigger,associate,context,activity_id,bin_index,dphi_low,dphi_high,value,stat_error,status
MONASH,beauty,bplus,bminus,os,integrated_0_100,1,-1.570796,-1.50796415,0.00075922745276735953,2.3876525662162849e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,2,-1.50796415,-1.4451323,0.00061621507939289843,2.209380134631775e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,3,-1.4451323,-1.38230045,0.00054400785165971465,1.9224194442097285e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,4,-1.38230045,-1.3194686,0.00052437870237302393,2.268123543264292e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,5,-1.3194686,-1.2566367500000002,0.00042202670966385084,1.7821536610207462e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,6,-1.2566367500000002,-1.1938049000000002,0.00042483087384766378,1.2677458659237715e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,7,-1.1938049000000002,-1.1309730500000001,0.00034351011251708787,1.456320755851747e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,8,-1.1309730500000001,-1.0681412000000001,0.00027410704896771708,1.6007754265373942e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,9,-1.0681412000000001,-1.00530935,0.00025167373549721337,1.3407217920029585e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,10,-1.00530935,-0.9424775000000001,0.00022363209365908375,1.1451032094683047e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,11,-0.9424775000000001,-0.8796456500000002,0.00021872480633741107,1.0483700044988398e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,12,-0.8796456500000002,-0.8168138000000001,0.00016053839952329208,1.1947203279156634e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,13,-0.8168138000000001,-0.7539819500000001,0.00014932174278804025,1.1165274117030919e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,14,-0.7539819500000001,-0.6911501000000002,0.00013459988082302219,6.9158016832465622e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,15,-0.6911501000000002,-0.6283182500000002,0.00011216656735251849,5.3245685159592115e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,16,-0.6283182500000002,-0.5654864000000002,9.8846787479406914e-05,9.6112239626641931e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,17,-0.5654864000000002,-0.5026545500000001,8.4825966560342115e-05,7.8475394353208813e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,18,-0.5026545500000001,-0.4398227000000001,8.1320761330575908e-05,5.5534840434687015e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,19,-0.4398227000000001,-0.3769908500000001,8.1320761330575908e-05,4.3398625613119993e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,20,-0.3769908500000001,-0.3141590000000001,5.6784324722212488e-05,6.731412319719557e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,21,-0.3141590000000001,-0.2513271500000003,6.1691612043885167e-05,6.9809337244288505e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,22,-0.2513271500000003,-0.18849530000000025,5.3279119492446282e-05,5.4446549002594581e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,23,-0.18849530000000025,-0.12566345000000023,5.4681201584352767e-05,5.9042227370368594e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,24,-0.12566345000000023,-0.06283160000000021,6.0289529951978688e-05,8.9281753140792293e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,25,-0.06283160000000021,2.499999998128999e-07,6.5897858319604609e-05,7.4632451805513447e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,26,2.499999998128999e-07,0.06283209999999984,5.4681201584352767e-05,7.2096222794779532e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,27,0.06283209999999984,0.12566394999999986,6.0289529951978688e-05,8.1267366216657639e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,28,0.12566394999999986,0.18849579999999966,4.9072873216726839e-05,9.2578517175176599e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,29,0.18849579999999966,0.2513276499999997,6.5897858319604609e-05,8.4473420035697097e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,30,0.2513276499999997,0.3141594999999997,7.2207227733183773e-05,6.8711797154377591e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,31,0.3141594999999997,0.3769913499999997,7.2207227733183773e-05,7.4843499757223787e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,32,0.3769913499999997,0.43982319999999975,7.6413474008903216e-05,6.5806523251889664e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,33,0.43982319999999975,0.50265505,8.7630130744155072e-05,1.0729697250425674e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,34,0.50265505,0.5654868999999998,9.9547828525360164e-05,8.4812267328723222e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,35,0.5654868999999998,0.62831875,9.3939500157734236e-05,8.6640459387880642e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,36,0.62831875,0.6911505999999998,0.00011076448526061201,1.310743695572643e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,37,0.6911505999999998,0.7539824499999996,0.00011637281362823793,8.201227296587986e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,38,0.7539824499999996,0.8168142999999999,0.00014721861965018052,9.3927023743953706e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,39,0.8168142999999999,0.8796461499999997,0.00017175505625854394,1.0755552637536588e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,40,0.8796461499999997,0.9424779999999999,0.00018928108240737494,1.3244287539020503e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,41,0.9424779999999999,1.0053098499999993,0.00019068316449928144,9.8470850874435072e-06,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,42,1.0053098499999993,1.0681416999999995,0.00027270496687581056,1.5275977531439989e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,43,1.0681416999999995,1.1309735499999998,0.00028532370570296891,1.3471097370311082e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,44,1.1309735499999998,1.1938053999999996,0.00035192260506852676,1.4996843632075522e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,45,1.1938053999999996,1.2566372499999998,0.00039118090364190824,1.5227954276822417e-05,available_central_sem_only
MONASH,beauty,bplus,bminus,os,integrated_0_100,46,1.2566372499999998,1.3194690999999996,0.00046549125451295174,2.0080227115280718e-05,available_central_sem_only
