tune,species,pdg,observable,bin_index,bin_low,bin_high,count_or_content,stat_error,normalized_value,normalized_error,status
MONASH,bminus,-521,eta,1,-4.0,-3.92,,,0.007397338,7.080578e-05,available_normalized_only
MONASH,bminus,-521,eta,2,-3.92,-3.84,,,0.007624024,7.187428e-05,available_normalized_only
MONASH,bminus,-521,eta,3,-3.84,-3.76,,,0.007910795,7.320297e-05,available_normalized_only
MONASH,bminus,-521,eta,4,-3.76,-3.68,,,0.008095831,7.404724e-05,available_normalized_only
MONASH,bminus,-521,eta,5,-3.68,-3.6,,,0.008296571,7.495205e-05,available_normalized_only
MONASH,bminus,-521,eta,6,-3.6,-3.52,,,0.008596315,7.628247e-05,available_normalized_only
MONASH,bminus,-521,eta,7,-3.52,-3.44,,,0.008691223,7.669874e-05,available_normalized_only
MONASH,bminus,-521,eta,8,-3.44,-3.36,,,0.008927468,7.77249e-05,available_normalized_only
MONASH,bminus,-521,eta,9,-3.36,-3.2800000000000002,,,0.009137767,7.862669e-05,available_normalized_only
MONASH,bminus,-521,eta,10,-3.2800000000000002,-3.2,,,0.009442974,7.991668e-05,available_normalized_only
MONASH,bminus,-521,eta,11,-3.2,-3.12,,,0.009552903,8.037604e-05,available_normalized_only
MONASH,bminus,-521,eta,12,-3.12,-3.04,,,0.009677853,8.089489e-05,available_normalized_only
MONASH,bminus,-521,eta,13,-3.04,-2.96,,,0.00992434,8.190838e-05,available_normalized_only
MONASH,bminus,-521,eta,14,-2.96,-2.88,,,0.00998306,8.21479e-05,available_normalized_only
MONASH,bminus,-521,eta,15,-2.88,-2.8,,,0.010291,8.339227e-05,available_normalized_only
MONASH,bminus,-521,eta,16,-2.8,-2.7199999999999998,,,0.0103504,8.36301e-05,available_normalized_only
MONASH,bminus,-521,eta,17,-2.7199999999999998,-2.6399999999999997,,,0.01065083,8.482225e-05,available_normalized_only
MONASH,bminus,-521,eta,18,-2.6399999999999997,-2.56,,,0.01075803,8.524342e-05,available_normalized_only
MONASH,bminus,-521,eta,19,-2.56,-2.48,,,0.01074164,8.517918e-05,available_normalized_only
