associate,campaign,class,delta,delta_sem,flagged_below_2sem,flavour,nominal_sem,nominal_status,nominal_yield,relative_shift_percent,relative_shift_undefined,significance,trigger,tune,variation_sem,variation_status,variation_yield
B-,HF_SYS_MUF_DOWN,c1,0.0019316936026935877,0.004644595440246637,True,BEAUTY,0.001676701366212794,PASS,0.10639730639730641,1.8155474683544162,False,0.41590136913862424,B^{+},CLOSEPACKING,0.00433139,PASS,0.108329
B-,HF_SYS_MUF_DOWN,c2,-0.000719199902625034,0.006446909726735805,True,BEAUTY,0.0023781473802480624,PASS,0.10475919990262503,-0.6865267234701479,False,0.11155730933263414,B^{+},CLOSEPACKING,0.00599225,PASS,0.10404
B-,HF_SYS_MUF_DOWN,c3,0.00252843208926512,0.0036310046822239476,True,BEAUTY,0.001218349191460408,PASS,0.09907656791073488,2.551998058252446,False,0.6963450368553327,B^{+},CLOSEPACKING,0.0034205,PASS,0.101605
B-,HF_SYS_MUF_DOWN,c4,-0.00048230491066977854,0.005395156711182469,True,BEAUTY,0.0014279735206638936,PASS,0.09831320491066978,-0.4905799898477674,False,0.08939590386134875,B^{+},CLOSEPACKING,0.00520275,PASS,0.0978309
B-,HF_SYS_MUF_DOWN,c5,-0.00037791671558537465,0.0029851478059347816,True,BEAUTY,0.0009439562184642044,PASS,0.09090761671558538,-0.4157151284338795,False,0.1265989961482099,B^{+},CLOSEPACKING,0.00283197,PASS,0.0905297
B-,HF_SYS_MUF_DOWN,c6,-0.006140623982869381,0.003267924141331703,True,BEAUTY,0.0009386431404418554,PASS,0.09100642398286939,-6.747462117647061,False,1.8790595244255064,B^{+},CLOSEPACKING,0.00313022,PASS,0.0848658
B-,HF_SYS_MUF_DOWN,c7,0.0031980090297810126,0.0020868124765070686,True,BEAUTY,0.0007056083206039759,PASS,0.08820359097021899,3.6257129608938334,False,1.5324851014566858,B^{+},CLOSEPACKING,0.0019639,PASS,0.0914016
B-,HF_SYS_MUF_DOWN,c8,0.0007824868898733406,0.0019341883060109777,True,BEAUTY,0.0006376721733066418,PASS,0.08418081311012666,0.9295311615126346,False,0.4045556926601021,B^{+},CLOSEPACKING,0.00182605,PASS,0.0849633
B-,HF_SYS_MUF_DOWN,c9,0.002033290891818404,0.0015885383729829494,True,BEAUTY,0.00044012480041383283,PASS,0.0815644091081816,2.492865349053878,False,1.2799759366217263,B^{+},CLOSEPACKING,0.00152635,PASS,0.0835977
B-,HF_SYS_MUF_DOWN,c10,0.003953501669238191,0.003332797577500682,True,BEAUTY,0.0005315865646293326,PASS,0.07840849833076181,5.0421851628385586,False,1.1862411614578119,B^{+},CLOSEPACKING,0.00329013,PASS,0.082362
B-,HF_SYS_MUF_DOWN,c11,0.0031758210181630636,0.0021098698037064567,True,BEAUTY,0.0009018735103063632,PASS,0.07794947898183693,4.0742042918632775,False,1.5052213234124807,B^{+},CLOSEPACKING,0.0019074,PASS,0.0811253
B-,HF_SYS_MUF_DOWN,MB,0.002836517817173395,0.0010083817454862496,False,BEAUTY,0.00023312900862161167,PASS,0.0854966821828266,3.317693441141691,False,2.8129404661184183,B^{+},CLOSEPACKING,0.000981063,PASS,0.0883332
B-,HF_SYS_MUF_DOWN,c1,-0.00481198334904176,0.005141891394300412,True,BEAUTY,0.001740855415558867,PASS,0.10889098334904176,-4.419083381419481,False,0.9358391650153595,B^{+},JUNCTIONS,0.00483823,PASS,0.104079
B-,HF_SYS_MUF_DOWN,c2,0.010628811045184844,0.004795663615309957,False,BEAUTY,0.0014109041834255668,PASS,0.10684618895481515,9.9477680478428,False,2.2163379039457243,B^{+},JUNCTIONS,0.00458342,PASS,0.117475
B-,HF_SYS_MUF_DOWN,c3,0.0010128172094539256,0.003712371158991041,True,BEAUTY,0.0011249889003934592,PASS,0.10105618279054607,1.0022318095599747,False,0.2728221845493466,B^{+},JUNCTIONS,0.00353781,PASS,0.102069
B-,HF_SYS_MUF_DOWN,c4,-0.010380371059597895,0.0036867172213212868,False,BEAUTY,0.0013986954214148806,PASS,0.10080847105959789,-10.297121809794167,False,2.815613576101088,B^{+},JUNCTIONS,0.00341109,PASS,0.0904281
B-,HF_SYS_MUF_DOWN,c5,-0.0016804125457668961,0.0024487107076878647,True,BEAUTY,0.0015424865696482429,PASS,0.0969130125457669,-1.7339390259624072,False,0.6862438018877226,B^{+},JUNCTIONS,0.00190182,PASS,0.0952326
B-,HF_SYS_MUF_DOWN,c6,-0.002235690390591072,0.0028238334550036498,True,BEAUTY,0.001052347093499978,PASS,0.09340439039059108,-2.3935602825970372,False,0.7917217591673381,B^{+},JUNCTIONS,0.00262042,PASS,0.0911687
B-,HF_SYS_MUF_DOWN,c7,-0.0022272031170114392,0.0030449322791760154,True,BEAUTY,0.0006427070217976796,PASS,0.08900990311701144,-2.502196990466985,False,0.7314458624393904,B^{+},JUNCTIONS,0.00297633,PASS,0.0867827
B-,HF_SYS_MUF_DOWN,c8,-0.003580562732636905,0.0022023482757385394,True,BEAUTY,0.0007164368597779697,PASS,0.0869187627326369,-4.119435919320154,False,1.625793146379717,B^{+},JUNCTIONS,0.00208256,PASS,0.0833382
B-,HF_SYS_MUF_DOWN,c9,-0.001137210801043273,0.0016950482158658874,True,BEAUTY,0.0009194631336329524,PASS,0.08332651080104328,-1.3647646950663326,False,0.6709017421444543,B^{+},JUNCTIONS,0.001424,PASS,0.0821893
B-,HF_SYS_MUF_DOWN,c10,0.0010153753480482142,0.0021716939837303525,True,BEAUTY,0.0005573720987550507,PASS,0.08119342465195178,1.2505635184139334,False,0.4675499198575336,B^{+},JUNCTIONS,0.00209895,PASS,0.0822088
B-,HF_SYS_MUF_DOWN,c11,0.007865265167850091,0.0030976636580357254,False,BEAUTY,0.0006448034601452383,PASS,0.0803441348321499,9.78947023859517,False,2.539095923938228,B^{+},JUNCTIONS,0.00302981,PASS,0.0882094
B-,HF_SYS_MUF_DOWN,MB,0.0011013953912852037,0.000978928028032674,True,BEAUTY,0.0003470366861989376,PASS,0.0873033046087148,1.2615735409118294,False,1.1251035415735813,B^{+},JUNCTIONS,0.00091535,PASS,0.0884047
B-,HF_SYS_MUF_DOWN,c1,-0.007144769547325125,0.004609022742286045,True,BEAUTY,0.0015343548031697136,PASS,0.11399176954732512,-6.2677942238267335,False,1.5501701655265354,B^{+},MONASH,0.00434613,PASS,0.106847
B-,HF_SYS_MUF_DOWN,c2,-0.00415407825529189,0.003556445249473706,True,BEAUTY,0.0023448555795409,PASS,0.11164207825529189,-3.7208893995978483,False,1.1680422342805992,B^{+},MONASH,0.00267394,PASS,0.107488
B-,HF_SYS_MUF_DOWN,c3,-0.001135220489916336,0.0022403836934187286,True,BEAUTY,0.0008885436799823304,PASS,0.11503522048991634,-0.9868460155781995,False,0.5067080666812204,B^{+},MONASH,0.00205665,PASS,0.1139
B-,HF_SYS_MUF_DOWN,c4,-0.004459483985486415,0.003677788676473001,True,BEAUTY,0.0016194633022063283,PASS,0.11535148398548642,-3.8659961982348743,False,1.2125449224459137,B^{+},MONASH,0.00330204,PASS,0.110892
B-,HF_SYS_MUF_DOWN,c5,0.0026124572468162605,0.0034823492232186073,True,BEAUTY,0.0018172699269924754,PASS,0.11514554275318374,2.2688305464121203,False,0.7501996725077625,B^{+},MONASH,0.00297057,PASS,0.117758
B-,HF_SYS_MUF_DOWN,c6,-0.003209657204714944,0.0029465840132615003,True,BEAUTY,0.001234332005219118,PASS,0.11752465720471494,-2.731050046054656,False,1.0892807367003443,B^{+},MONASH,0.00267559,PASS,0.114315
