nch,count
0,872
1,8256
2,11224
3,13104
4,13195
5,12083
6,10497
7,8773
8,7680
9,6666
10,5882
11,5256
12,4875
13,4382
14,4070
15,3761
16,3513
17,3243
18,3019
19,2858
20,2599
21,2510
22,2366
23,2219
24,2120
25,1982
26,1787
27,1759
28,1669
29,1560
30,1518
31,1332
32,1277
33,1190
34,1094
35,1079
36,926
37,901
38,772
39,819
40,795
41,663
42,623
43,529
44,502
45,462
46,429
47,412
48,328
49,330
50,306
51,284
52,229
53,218
54,207
55,179
56,156
57,129
58,140
59,87
60,108
61,65
62,72
63,58
64,64
65,45
66,47
67,33
68,36
69,27
70,23
71,27
72,12
73,25
74,8
75,10
76,13
77,9
78,5
79,9
80,5
81,4
82,6
83,2
84,1
85,3
86,3
87,2
88,2
89,2
90,2
92,1
94,1
96,3
